Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
TSPAN6	4	1	9	0	2	5	4	0	0	3	1	3	2	1	7	3	4	3	1	9
TNMD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	1486	769	1840	1055	615	1221	1005	892	1285	1507	1750	1537	907	553	1427	435	1523	1339	1133	994
SCYL3	515	503	358	272	510	218	420	321	1012	653	538	233	249	148	450	293	335	243	206	440
C1orf112	153	46	190	16	117	49	146	158	99	270	137	45	34	68	272	54	73	147	18	201
FGR	72237	82395	45120	47594	38451	33508	73446	33990	80386	65519	50110	64145	30991	21425	31180	45963	51559	40689	45021	37236
CFH	90	38	55	10	25	59	14	38	123	121	98	9	18	43	55	6	118	63	65	46
FUCA2	410	117	976	135	603	581	1388	458	393	519	629	567	236	327	973	140	480	1408	359	431
GCLC	636	66	704	553	767	306	1199	262	395	1340	480	550	362	281	1120	109	179	776	130	748
NFYA	2063	2530	2732	1319	3449	2843	2039	3367	4427	2102	2395	2139	1334	1090	768	2205	2594	1372	3711	2216
STPG1	92	22	67	9	125	53	162	62	90	148	20	18	9	31	72	36	19	81	10	112
NIPAL3	592	195	566	113	750	235	679	432	386	1131	392	157	187	163	422	230	170	295	126	579
LAS1L	754	191	1945	523	702	901	1407	629	430	1088	595	1000	421	598	967	226	499	1237	328	992
ENPP4	1635	977	1971	245	1169	440	1502	1358	947	4382	737	1350	94	1451	3102	695	1007	3926	79	1372
SEMA3F	9	1	129	1799	12	495	4	1	4	6	162	326	176	15	25	2	26	53	63	21
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKIB1	698	488	1232	234	1249	671	1539	654	1394	1496	964	456	621	315	598	370	586	516	575	638
CYP51A1	16	10	112	24	71	71	66	29	40	75	47	84	14	101	39	23	41	155	35	20
KRIT1	229	89	281	26	219	77	262	155	190	288	221	131	137	78	315	54	79	110	69	285
RAD52	298	232	298	49	462	118	351	373	619	586	167	100	116	91	116	142	95	201	128	344
MYH16	1	2	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0
BAD	135	81	266	378	194	189	161	313	272	146	269	242	124	175	211	53	263	421	240	102
LAP3	927	307	1897	3689	652	2885	3577	735	439	1198	2462	1737	1073	842	2696	396	1155	1477	620	685
CD99	1617	267	11394	1159	1759	9186	9736	2882	3837	2249	4562	5508	3533	1761	4477	624	1195	6982	4021	987
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HS3ST1	2	2	1	57	1	165	3	0	6	2	7	1	596	1	2	0	6	2	13	4
AOC1	456	3307	140	63	23	53	964	2	393	250	123	258	42	470	22	312	453	94	3006	118
WNT16	3	4	2	22	2	9	0	0	7	3	2	1	2	0	2	0	2	1	20	0
HECW1	0	0	2	0	1	1	0	1	1	1	2	2	1	1	1	2	2	0	1	0
MAD1L1	21	56	21	54	14	35	44	12	67	26	17	36	23	28	27	6	30	63	15	10
LASP1	28658	32484	23820	22065	17877	30754	22656	23551	29627	31046	30474	35434	27556	24854	19201	23134	35963	22763	35805	19498
SNX11	1550	1435	1094	559	719	798	1087	944	2154	2279	854	1153	490	736	696	845	1126	1405	967	882
TMEM176A	310	111	501	275	13	856	294	32	424	4	82	1911	49	509	24	133	436	148	1297	15
M6PR	2089	614	3592	833	2570	1107	4454	1245	2807	4052	2869	1996	1394	1052	4074	523	1381	1980	1028	1595
KLHL13	35	3	88	2	19	5	89	21	12	79	3	4	2	17	38	20	7	7	2	46
CYP26B1	1	0	129	376	34	3	0	0	3	0	3	36	0	149	0	97	2	0	2	9
ICA1	1165	452	2414	48	1821	175	1419	1256	1074	1783	964	226	65	337	2471	340	478	1922	105	1080
DBNDD1	6	5	3	8	20	26	13	6	4	2	3	9	1	11	0	4	11	30	5	1
ALS2	403	179	762	304	682	324	961	488	938	1479	886	361	211	228	505	136	384	421	354	696
CASP10	1354	982	2670	607	1368	499	2119	1799	933	4004	1722	2369	268	959	1966	579	1007	1505	384	1443
CFLAR	23325	52845	15778	9490	22861	17346	24353	25033	67332	23669	25171	15617	22359	10430	12985	30513	31104	13362	28500	15168
TFPI	46	7	292	30	76	26	115	84	69	215	63	26	160	40	923	11	34	129	4	137
NDUFAF7	1270	700	477	414	465	353	691	346	595	565	765	560	284	497	438	492	518	433	415	929
RBM5	2969	4368	4996	2223	2225	2863	3795	2462	4752	4472	4480	4957	2056	3033	2391	1704	3478	4292	2595	3168
MTMR7	51	66	143	135	101	91	129	118	43	102	251	135	64	86	158	18	81	228	40	39
SLC7A2	7	0	0	2	5	0	0	0	2	23	0	0	0	1	0	3	5	27	0	10
ARF5	6497	3840	9349	1943	5043	5726	6866	5293	7846	4942	5635	5924	3360	1595	6218	1942	4615	5430	7320	3477
SARM1	75	25	412	197	132	204	249	172	88	138	159	171	148	72	248	22	69	91	72	91
POLDIP2	1920	900	2691	712	1516	1245	2177	1427	1818	2196	1399	1794	808	594	2939	586	1510	2042	1330	1393
PLXND1	1573	233	6267	1295	559	4787	7403	1377	358	1512	2618	7186	1688	1376	1877	979	2111	1706	3153	2177
AK2	5771	1289	5589	880	4446	871	6029	3025	1591	8356	2500	1313	1306	1522	5541	1500	1839	2104	946	4334
CD38	986	424	1571	250	804	159	1597	743	208	1869	1740	224	275	157	3537	230	425	832	290	845
FKBP4	732	101	640	80	381	185	737	301	516	791	129	167	99	246	223	302	333	436	146	1320
KDM1A	802	122	2599	764	1516	926	1934	818	759	1707	1189	1281	467	686	1102	256	593	2558	408	1438
RBM6	5035	5766	3931	1139	6893	1887	5302	2608	5932	4964	2274	2464	1139	1360	1989	1130	1487	2215	1839	5958
CAMKK1	977	2649	1155	2997	1206	2022	759	1179	289	1151	4159	5076	3602	1968	756	1121	3070	2060	2139	619
RECQL	464	271	522	239	305	372	651	285	822	666	322	570	249	199	544	208	216	508	201	370
VPS50	225	67	198	124	282	116	352	145	188	463	119	98	53	76	144	56	92	152	41	310
HSPB6	11	1	22	0	10	2	1	2	5	6	0	0	1	0	13	0	0	5	1	7
ARHGAP33	1738	760	4188	167	2739	316	1616	2462	389	1507	427	1529	175	602	2731	419	945	2117	241	1940
NDUFAB1	371	72	338	145	178	158	348	110	195	564	159	218	95	135	313	87	266	391	119	324
PDK4	251	79	871	53	434	252	370	1	19	56	82	3121	536	79	21	36	64	305	87	204
SLC22A16	422	80	438	16	278	57	254	191	146	504	50	69	5	102	459	110	139	418	23	533
ZMYND10	25	24	139	26	74	33	81	132	39	45	61	78	29	39	20	26	32	159	25	49
ABCB5	0	0	0	2	1	0	1	0	2	1	1	0	0	1	5	0	0	0	0	0
ARX	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1
SLC25A13	387	245	890	2348	313	487	514	399	384	564	903	503	753	490	576	167	590	916	500	295
ST7	270	30	763	99	279	131	250	247	190	383	166	304	82	106	653	57	145	437	70	285
CDC27	1533	726	2018	1971	1239	1491	1517	936	1516	1648	2496	1923	1299	1410	2433	831	1128	1338	1202	2093
SLC4A1	6439	43	351	4	268	9	99	84	55	104	12	0	7	2261	11451	169	373	7	1	2715
CALCR	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
HCCS	382	278	453	267	194	297	405	170	581	391	291	685	180	360	536	164	191	897	191	395
DVL2	446	238	1257	262	922	483	998	777	522	1009	901	487	343	396	1016	229	484	675	513	450
PRSS22	1	0	1	55	2	8	0	0	0	6	7	2	6	0	2	0	6	1	4	0
UPF1	3388	7121	10731	3301	2986	3825	4773	3635	7561	6386	6585	7245	3406	2757	3777	3757	6131	5985	4006	2985
SKAP2	10819	12179	5560	285	10492	2409	8298	4317	20161	11597	1959	1452	2195	989	1299	5058	6880	2890	8928	8293
SLC25A5	1844	492	5093	1354	1410	1699	2499	1785	1493	4084	1499	2209	789	1939	3227	506	3212	8111	1405	1446
MCUB	133	60	476	348	63	919	820	222	165	77	459	813	627	263	273	68	285	302	352	84
HOXA11	3	0	0	4	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0
POLR2J	2701	1694	2815	2291	2411	2749	1837	2301	2667	1234	2913	2543	1488	1177	1198	971	2155	2443	3015	1749
DHX33	444	126	570	152	474	245	632	251	272	837	308	194	299	87	448	148	165	142	133	601
MEOX1	7	1	1	2	10	1	1	6	2	3	4	3	5	0	3	3	4	1	7	1
THSD7A	0	78	53	3	0	4	12	32	61	34	0	0	7	12	36	14	7	13	10	0
LIG3	1372	480	1592	675	1344	676	1346	1377	437	1900	1056	1097	865	740	1088	456	535	997	310	1501
RPAP3	1278	498	843	785	1820	411	1562	412	1082	1318	1548	534	836	748	1160	515	808	490	641	926
ACSM3	648	42	953	115	1561	117	304	1053	172	665	167	123	129	412	648	92	91	332	39	401
REXO5	387	65	519	6	342	33	185	435	34	401	216	55	13	106	2177	70	98	348	11	332
CIAPIN1	486	121	702	479	440	429	591	291	308	687	479	745	228	265	871	121	397	774	285	444
SPPL2B	1100	603	4540	865	1545	1301	1925	1386	1122	1921	2127	1529	1555	796	3177	446	1285	2498	767	1025
FAM214B	5510	8599	5425	4514	3312	3820	3846	4106	8917	5068	7158	11492	6371	5061	4053	5192	7543	3867	6425	3462
COPZ2	10	1	51	3	38	10	89	7	2	16	5	25	0	4	2	1	11	55	12	14
PRKAR2B	604	146	1467	510	61	700	604	123	2594	189	1364	728	509	380	369	184	906	472	632	1129
MSL3	9951	20271	5093	1489	5359	5136	6518	4327	35477	3693	2526	7315	2424	2835	3059	7078	7470	2864	10857	4365
CREBBP	10048	19996	27587	25591	22609	39102	27397	26488	29592	19119	42423	33209	24008	10450	12966	15026	18395	12133	28448	11307
TSPOAP1	663	220	8852	2534	1664	5202	1200	5181	869	1395	1995	2064	1738	714	2251	664	1556	1728	2098	7466
MPO	112324	5520	581796	382	228657	1553	132314	53500	6877	137828	22924	4727	161	12606	227424	20819	39754	402952	150	56138
PON1	0	0	1	0	12	2	0	15	2	2	0	1	0	0	0	0	0	6	1	0
GCFC2	168	55	364	87	213	168	324	245	100	330	93	96	98	88	275	39	64	250	49	230
WDR54	60	15	161	34	67	94	134	60	56	149	75	51	47	57	100	22	47	148	32	85
CROT	44	20	157	34	64	48	95	60	68	146	38	43	22	37	86	18	31	85	38	61
ABCB4	8	19	15	100	8	126	29	10	36	4	16	53	89	9	18	8	14	11	19	17
KMT2E	8040	11317	17255	22787	10396	29548	14663	11520	20863	8251	37199	29113	25449	15098	15814	8468	9469	15282	15789	7283
RHBDD2	2029	1831	1730	2805	577	2762	1489	1230	6363	1015	5850	2030	2115	1371	2774	1297	2573	2224	3676	364
SOX8	2	4	6	13	12	17	5	11	3	1	15	1	17	12	5	0	3	2	3	0
IBTK	579	101	1153	370	682	499	1601	398	574	1681	515	531	391	225	847	175	297	541	196	549
ZNF195	311	74	480	212	256	271	551	186	278	635	186	193	112	157	361	82	148	261	100	510
MYCBP2	1531	1152	5875	1270	4435	4343	5449	3367	2372	6040	2807	3325	1548	1413	2279	884	1461	2557	1562	1797
FBXL3	1951	2284	7949	1697	1110	2123	2300	1844	2623	2133	3427	4483	1758	1674	2515	1222	1964	5210	2019	1454
ITGAL	12827	16112	13015	2120	16946	13518	24730	12282	30117	9599	8403	11582	5498	4583	3815	9329	13596	9533	16067	6300
PDK2	176	49	597	34	1260	185	718	200	447	175	141	176	66	63	270	74	90	184	142	162
ITGA3	16	7	29	8	31	60	61	47	35	13	14	28	36	12	30	8	15	40	32	8
ZFX	1182	1009	3230	3968	1500	1470	1439	1013	1639	1650	2966	2611	1735	1261	1145	673	2953	3269	1769	1262
LAMP2	10594	11638	8336	6849	9888	8795	10117	4230	19311	20609	11624	5043	6465	6760	10967	8729	17595	11962	15157	8197
ITGA2B	453	415	4098	1663	75	946	76	346	3268	108	3115	541	716	1042	729	131	1696	1606	1126	658
ASB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDE1	2201	2657	4640	936	2322	2350	3334	1644	5669	2669	4646	3010	1645	1353	3272	1962	3572	3558	3522	1483
REX1BD	540	161	1914	150	516	593	765	696	353	716	320	510	178	337	436	123	599	1026	444	558
CRLF1	6	22	82	17	24	37	10	39	18	13	20	21	22	28	7	19	87	27	20	6
OSBPL7	304	134	1387	675	1240	686	1319	497	472	625	1141	643	438	578	991	139	225	1078	203	414
TMEM98	25	1	1	0	21	2	0	42	25	99	0	3	0	31	4	24	8	22	0	65
YBX2	22	1	15	1	2	0	0	0	2	12	2	1	2	2	8	4	6	3	1	62
KRT33A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	303	348	1030	1058	407	1802	1300	501	718	393	1412	3173	1446	631	456	384	1183	1400	1521	176
ABCC8	1	1	13	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1
CACNG3	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
TMEM132A	10	14	40	376	8	105	85	37	87	9	31	70	63	104	11	31	267	42	154	7
AP2B1	3930	2796	3145	1804	4755	2269	5726	2646	3765	7375	3012	2469	1677	2031	2956	1309	2389	3034	1791	3403
TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ZNF263	497	223	896	476	605	624	566	770	683	968	787	907	514	673	890	223	753	1092	556	505
CX3CL1	1	1	1	2	0	2	0	1	0	1	0	1	1	1	0	0	0	1	0	0
SPATA20	294	67	1795	85	592	911	1270	451	248	1557	417	239	279	284	234	117	240	1951	230	208
CACNA1G	0	0	0	3	0	5	2	1	0	0	0	0	4	0	0	0	0	6	2	1
TNFRSF12A	145	265	367	765	115	2219	85	685	69	147	987	3005	758	660	555	129	1204	1293	2429	156
DLX6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K9	35	18	327	200	70	202	41	57	51	17	132	192	120	197	119	18	83	245	125	10
RALA	691	262	535	1064	547	520	833	400	728	984	650	343	546	509	869	201	283	519	272	597
BAIAP2L1	192	220	112	491	223	189	91	246	149	154	184	224	211	120	94	64	233	135	215	96
KDM7A	3745	4386	6871	5161	8323	7095	7259	6575	4941	9689	12042	7394	7839	4661	3643	3394	8599	5714	4415	5525
ETV1	5	41	119	0	3	1	3	15	1	36	2	18	0	3	358	3	6	1	0	2
AGK	325	60	519	319	327	353	559	207	151	554	431	286	305	209	662	78	149	324	142	360
ALDH3B1	5424	3709	8206	790	5847	2102	6028	5798	3895	10638	3602	7088	1667	1093	9617	1679	3899	6973	2614	4975
TTC22	154	90	238	40	233	69	159	171	56	522	83	52	32	47	75	54	112	255	60	286
PHTF2	616	292	1219	982	765	946	775	803	655	755	1865	1287	676	892	1685	289	527	1417	599	522
CCL26	4	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0
FARP2	293	61	657	1448	285	1081	747	316	134	602	625	1042	463	219	513	62	257	372	505	312
USH1C	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GGCT	231	27	543	19	161	49	219	162	36	217	73	113	22	46	675	55	79	225	34	309
DBF4	676	121	1930	38152	432	1681	349	786	206	623	1052	1380	428	2071	2351	199	657	1585	931	671
TBXA2R	4	8	72	14	3	17	2	11	162	14	90	16	8	14	6	1	31	23	13	17
IFRD1	1137	1043	2509	4803	1315	4862	592	859	1749	1476	1586	1571	1340	4482	566	1826	3181	2156	2418	1091
LGALS14	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3
COX10	261	52	550	66	315	172	484	187	121	547	126	154	101	108	540	111	103	203	58	293
GTF2IRD1	7	1	31	26	3	11	16	13	2	4	16	5	60	5	58	3	7	5	6	14
PAF1	3898	3099	3664	2214	3461	2018	3236	2600	6595	2278	2741	2760	1399	3445	2777	2021	2736	3286	2871	2221
VPS41	993	695	1007	137	2060	526	2257	538	2012	2802	924	596	480	315	488	399	532	606	222	1442
ARHGAP44	5	0	8	2	13	5	19	11	6	88	4	0	5	23	1	2	4	6	4	36
ELAC2	1366	245	1689	575	1050	788	1914	655	867	1682	741	1029	451	527	1363	381	560	1014	344	1423
SCIN	0	0	5	3	2	5	8	129	1	2	1	5	3	2	2	0	6	6	4	0
ARSD	787	417	1177	75	1786	321	2244	744	2213	2387	249	367	105	219	831	258	653	1087	335	883
PNPLA4	214	42	215	30	194	61	251	83	89	255	44	70	32	15	90	35	54	90	30	209
MYH13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADIPOR2	1444	927	1630	1203	2661	932	2288	914	1690	5088	3360	1459	2133	2671	4295	618	1684	1802	871	1246
CDKL3	6	6	8	10	15	1	9	9	6	7	11	3	4	2	4	4	8	9	9	3
UPP2	16	8	10	1	9	1	5	0	9	10	4	0	0	2	13	2	0	185	0	5
PRSS21	422	29	2	26	307	75	4	297	0	2083	159	10	12	3	8	4	36	849	66	853
MARK4	1149	568	2858	1310	3173	1344	1705	1000	2364	794	2591	3378	1784	689	909	454	1038	2097	1568	665
PROM1	557	164	569	11	180	9	190	261	69	972	27	39	9	85	593	162	44	14	6	203
CCDC124	1020	278	2599	483	1191	799	1604	771	661	773	704	1074	433	481	742	242	657	1259	682	728
CEACAM21	2717	1318	387	77	1322	219	628	2284	612	3260	251	233	128	335	2319	521	709	223	929	1686
PAFAH1B1	2996	3719	3348	4714	3205	3539	3931	1721	5688	6084	5832	3737	4294	3406	3321	1661	4295	3588	3129	2056
NOS2	0	1	0	0	4	1	0	0	1	0	1	1	3	0	0	2	5	3	0	0
DNAH9	3	1	3	3	2	3	7	2	0	3	4	4	6	0	1	2	1	0	0	1
KIAA0100	3943	2672	9388	1950	5861	4957	9172	4760	8594	7511	8781	7321	3913	3273	4051	1599	3951	5576	3948	3318
SLC13A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS7	8696	14168	15251	11315	6470	11141	19734	5442	34989	5527	6329	30989	4644	5037	8448	11310	16309	8520	13243	3898
TRAPPC6A	251	79	386	30	351	227	348	273	135	608	128	66	67	171	353	105	226	1418	85	240
MATK	444	50	1078	358	172	435	248	469	187	488	342	269	786	309	450	120	184	396	236	428
CEACAM7	0	1	0	0	0	0	2	0	2	0	1	1	0	0	1	3	1	0	0	1
CD79B	71	49	59	42	51	25	207	48	172	56	33	62	58	31	37	15	20	127	51	37
SCN4A	3	4	18	6	13	4	2	3	15	11	11	7	3	1	6	1	0	10	1	2
ST7L	347	184	592	522	272	416	305	579	476	357	289	471	156	624	579	199	826	759	439	159
TKTL1	18	6	49	1657	18	152	13	21	10	16	151	118	1115	89	102	3	29	3	74	91
PAX6	1	0	0	0	0	1	6	0	10	0	1	0	0	0	0	0	0	0	1	0
RPUSD1	632	401	1039	124	582	522	910	541	967	597	664	604	343	237	546	339	688	403	938	515
RHBDF1	3	3	97	90	17	46	7	8	6	184	7	38	17	11	137	2	12	72	24	13
LUC7L	764	416	3454	1188	1551	1900	2033	1396	830	978	1974	2595	1105	1712	974	250	958	2190	1040	808
CACNA2D2	118	26	78	90	188	114	71	82	79	84	449	97	167	87	137	35	51	72	66	40
BAIAP3	668	189	95	258	69	852	378	475	243	1178	1397	482	1136	361	126	153	557	294	139	36
TSR3	615	355	611	122	543	385	551	500	674	688	469	348	207	262	499	207	611	526	570	458
PIGQ	466	179	663	147	512	283	481	460	529	689	359	309	159	317	764	84	453	714	228	504
CRAMP1	309	121	940	19253	631	353	385	395	388	658	561	1167	339	800	766	73	418	1122	290	197
TEAD3	53	14	17	14	12	15	3	40	396	9	45	23	10	47	136	73	30	25	59	11
SELE	0	0	4	0	0	1	1	0	0	1	2	0	1	2	0	0	1	0	0	4
DNAJC11	479	111	624	235	373	335	873	283	228	773	333	335	255	106	573	152	219	206	146	720
FMO3	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	17	0	0	35
MYLIP	1457	3397	7599	7047	2521	8026	1954	6184	8451	1052	4952	6847	1380	14074	2241	4367	12046	12078	12501	844
NOX1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	4
E2F2	1725	632	4260	368	551	179	1180	1799	204	1218	283	1302	51	2086	7143	662	1701	7373	201	851
PSMB1	2232	993	3833	2715	1482	1847	2330	1732	2564	2417	3038	3314	1466	1259	2548	679	2307	4095	2078	1663
SYN1	50	55	14	273	21	340	67	3	14	39	237	97	571	43	65	60	44	22	88	4
JARID2	3027	2885	16612	54299	3704	28270	5871	3535	4499	4185	31183	55000	25988	7589	9811	2449	7341	12492	7421	3356
CDKL5	517	487	962	208	1816	361	1698	1098	742	1860	509	482	658	193	536	563	411	154	278	835
CAMK1G	5	0	10	1174	0	333	0	9	1	4	75	67	88	71	15	4	27	6	62	2
CDK11A	76	104	219	651	151	355	196	395	175	110	596	673	328	260	111	83	297	316	339	70
NADK	15838	28296	11051	17514	10405	4487	10855	11605	20115	24229	8746	10375	5331	11878	6971	10827	13232	14972	7601	10436
TFAP2B	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DLEC1	233	154	725	367	134	566	247	228	221	93	487	245	378	197	122	85	277	89	280	343
CYTH3	264	107	776	502	1063	839	553	713	388	799	583	1024	622	239	314	61	251	561	260	550
ADAM22	110	32	240	18	348	28	70	91	68	167	47	29	24	82	74	46	69	75	15	122
SYPL1	722	216	2145	1183	669	505	1315	401	1774	3007	949	1071	341	1031	2621	230	1081	6513	516	660
CYB561	89	37	676	113	87	313	319	314	101	1087	149	224	133	198	333	21	127	342	146	139
SPAG9	2072	2920	7037	26146	2573	11418	3230	5865	3325	4779	15755	12436	15158	10311	3886	2354	7401	9033	5866	1723
CELSR3	57	23	170	145	145	254	323	244	71	455	164	210	125	239	207	23	63	93	143	42
AASS	72	26	330	11	689	95	496	155	243	344	16	33	19	39	70	37	37	241	30	200
PLEKHG6	41	43	27	115	48	265	21	91	153	28	108	76	71	30	18	89	180	33	72	8
SS18L2	182	83	196	179	140	174	83	133	129	201	153	142	99	269	228	70	352	506	218	160
MPND	142	41	353	54	161	173	212	183	80	286	109	168	56	105	150	36	135	307	152	95
MGST1	2665	576	5370	45	1691	402	5029	2037	5629	3353	189	382	62	233	4463	979	551	2404	489	2280
CRY1	132	52	743	3359	267	689	415	336	208	409	697	1342	490	1564	717	46	297	3053	194	163
PGLYRP1	83697	23458	15543	845	23039	1881	18623	20487	5368	52794	3039	1180	353	7853	18094	17181	23188	29030	4027	34114
NFIX	588	72	2804	49	2702	309	930	528	196	1349	385	606	139	314	1471	120	209	909	116	1020
ST3GAL1	4145	4298	6668	10834	2488	8309	3087	3196	7503	5048	19653	14488	10756	3508	5870	2667	3514	4684	6639	2152
MMP25	32273	91798	10473	7410	4720	17442	8840	17494	48134	8857	12084	18162	10180	13207	5608	26139	44523	7038	54245	7866
IL32	1159	316	531	206	798	999	413	1142	847	557	860	494	660	852	605	291	564	192	989	195
PKD1	449	106	2535	403	1934	1186	1816	956	394	1447	733	1065	473	474	809	152	411	2151	420	556
MAPK8IP2	11	4	26	15	16	39	20	11	9	45	10	22	21	11	5	1	5	8	9	2
MED24	1231	250	1978	464	1759	736	2799	815	649	2172	835	1025	416	606	1776	322	738	1700	309	1353
RHOBTB2	85	66	191	61	235	165	292	81	179	129	110	176	36	79	131	44	72	213	104	106
HEATR5B	1519	780	3158	442	1480	1170	2415	2342	1270	2947	1261	932	492	588	1808	580	985	1038	478	1394
SEC62	9616	7556	6692	8819	4307	7490	3947	3157	8471	7787	8126	9747	4308	5155	12844	4239	6398	8182	6901	6536
RPS20	12468	2216	44812	13308	11310	19954	13317	19316	6307	19903	12492	15383	7240	11224	34640	2734	8057	44477	7067	16936
CSDE1	12471	9961	32199	23860	15775	25998	25044	16037	20710	22425	24715	32210	15081	19074	20549	5776	17946	39777	18992	10542
UBE3C	1720	971	2325	439	1922	1333	2676	1727	2728	3935	1453	1086	849	516	2039	652	1435	1728	1092	1743
REV3L	572	658	1375	2067	1308	1244	1405	1111	1628	2044	2335	639	1598	648	1148	449	843	925	1054	680
TENM1	46	198	444	376	1058	1210	338	3213	110	400	260	70	608	132	95	41	380	80	473	325
PAX7	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MASP2	92	146	694	207	305	364	553	474	176	287	605	556	211	125	465	42	277	482	135	123
IYD	1	0	1	1	0	0	0	1	0	0	1	2	1	1	0	0	1	0	0	0
FAM76A	351	150	687	540	659	664	564	461	368	453	708	781	329	309	464	97	487	587	507	273
TRAF3IP3	3623	6199	2322	4879	2443	3893	5881	3556	4163	4179	10994	5943	3606	1773	3322	1302	2774	3091	1420	3347
POMT2	137	51	467	96	165	212	369	173	118	276	211	244	68	100	79	60	247	162	123	142
VTA1	1279	767	835	414	1019	412	1157	471	2424	2313	554	484	249	423	528	550	517	993	333	1136
MLXIPL	0	0	1	157	3	77	2	3	0	1	157	365	340	95	29	3	7	20	29	0
BAZ1B	2955	1166	5387	1820	3076	2262	4514	2725	3928	4576	3152	3607	2097	2231	5489	959	1460	3313	1348	2994
RANBP9	2618	2037	4880	3169	3801	2665	2761	2800	2585	2502	3039	4420	1630	2332	3634	1281	3132	9708	2961	1656
ETV7	21	10	24	138	29	27	8	9	9	72	136	13	39	69	98	7	17	25	18	31
SPRTN	290	274	458	1194	245	727	281	374	401	615	798	864	367	645	484	298	897	1143	933	265
EEF1AKNMT	462	141	208	78	234	72	268	65	309	812	139	151	73	65	242	136	156	105	57	638
DYRK4	1176	158	346	20	441	73	234	404	67	520	144	109	32	62	1102	97	174	106	63	498
ZNF207	5201	4303	14592	5831	6492	5707	9936	8941	5267	6828	8711	9733	4054	7093	8836	2077	5222	15204	4312	5134
UQCRC1	4764	1597	4564	310	3093	1587	4212	2907	2350	4386	1072	2498	445	1216	3060	1149	3112	4554	1605	2487
STARD3NL	739	523	938	521	1163	627	1562	941	1280	1567	929	579	476	430	1014	334	605	1445	806	796
CD9	1348	2219	5210	951	534	685	1377	2370	3648	1048	4174	4830	4477	668	1850	2929	2468	822	1135	706
HHATL	0	9	3	3	4	1	0	3	8	4	1	3	0	2	0	8	15	1	15	0
NCAPD2	3658	1135	2721	386	5401	672	4037	1884	1179	8392	1611	882	662	564	2084	1116	1308	1317	703	4202
IFFO1	1067	1236	3118	102	1378	870	2583	1553	1978	1486	955	1377	747	306	651	912	1331	504	1128	1496
GIPR	36	9	30	106	117	167	40	30	25	43	237	38	291	86	120	26	34	46	53	5
PHF7	238	68	513	116	352	221	228	251	125	532	295	233	109	218	765	81	212	452	172	219
SEMA3G	13	0	8	6	16	6	2	8	2	12	2	6	2	4	1	0	10	11	3	18
NISCH	2403	1901	5956	2504	5721	3563	6254	3192	5706	4841	3995	5131	2034	2269	3408	738	3033	5477	2935	2476
STAB1	615	160	5009	1007	22	6300	11820	213	1108	129	2040	8092	1582	770	279	305	2296	2980	2761	198
FUZ	188	111	400	82	357	236	290	664	396	282	274	268	109	191	102	128	249	292	218	179
SLC6A13	5	5	12	7	2	10	1	6	5	3	4	3	3	2	3	8	11	3	9	1
IDS	934	1631	2946	2665	1467	6839	3168	6266	3329	1422	7620	3383	4402	1201	2032	812	1581	1973	4388	775
PRSS3	3	3	5	2	2	3	1	3	5	65	59	0	3	3	0	0	2	12	3	14
ZNF200	447	426	68	144	137	145	125	263	205	450	203	220	147	176	157	309	229	47	165	226
CD4	1629	416	7540	702	4524	5688	10043	1791	515	2663	3248	6177	1584	1149	716	367	2693	1810	3440	704
LRRC23	108	18	200	55	298	85	173	218	114	119	64	77	21	46	67	33	74	105	49	62
