Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
PDLIM3	2	0	2	1	1	0	1	1	1	0	0	1	0	0	0	1	2	1	0	1
SORBS2	5	24	0	6	0	8	1	10	7	2	2	1	3	1	1	4	4	1	0	6
ELOC	1189	564	1326	1698	577	1218	717	870	989	888	844	1116	494	1283	1347	428	1337	2461	1729	700
LY96	1218	1128	72	419	175	574	246	174	1403	188	374	150	146	488	66	773	2339	245	1609	214
CEP170P1	14	23	35	63	23	64	53	23	34	19	59	117	71	17	55	19	60	9	39	22
PSMA8	0	0	0	0	0	1	1	4	4	13	0	0	4	3	0	0	5	0	2	12
TMSB4Y	1	3	1	0	0	14	102	17	19	68	19	28	4	19	117	1	0	0	6	0
CXADR	10	0	10	4	0	3	2	9	0	0	0	3	1	8	2	2	14	2	3	73
BTG3	62	22	822	580	142	314	364	232	133	180	156	371	150	531	859	40	157	2811	126	99
C21orf91	774	1871	578	1780	455	596	469	292	1267	719	719	709	601	755	827	599	476	272	534	760
CHODL	1	2	2	0	1	6	0	0	1	1	1	1	1	1	4	0	3	3	1	1
TMPRSS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NCAM2	11	2	85	0	7	5	12	5	5	2	12	0	0	6	3	4	10	2	0	9
L3MBTL4	60	18	232	7	156	59	312	40	58	103	11	67	19	31	142	19	28	99	25	109
PDE1C	0	1	13	6	3	9	0	4	1	4	9	0	6	2	0	3	2	3	1	5
RABGEF1	171	144	254	2585	234	1289	123	245	256	112	411	524	276	804	213	153	964	945	1066	72
MRPL39	255	36	352	142	166	183	221	92	82	363	164	293	114	140	396	49	81	280	68	284
JAM2	3	5	22	0	7	5	7	12	6	37	4	7	1	2	5	5	5	8	0	11
ATP5PF	2480	1172	2707	371	1516	1021	1868	1772	2161	1160	1177	909	611	384	2231	639	951	1249	1256	1836
GABPA	917	1066	2424	1282	1153	1224	1735	576	2035	2005	1837	1774	1056	746	2027	430	1140	1906	953	807
ADAMTS1	18	58	95	7	119	15	2	2	164	441	35	5	10	17	8	59	127	75	12	11
ADAMTS5	3	6	194	0	23	15	15	2	346	0	4	5	1	3	0	27	14	22	6	10
TSEN2	129	22	100	30	79	67	127	64	22	151	81	41	49	20	64	34	26	24	26	200
SLFN13	2076	647	1848	253	1317	696	1621	1568	1082	3560	1973	1413	596	969	5227	481	713	1274	325	976
WNT7A	6	0	28	20	3	99	2	32	5	3	53	39	61	13	41	1	8	8	31	1
XPC	869	1223	694	667	1046	837	1023	563	1798	781	1673	861	996	434	787	956	649	388	626	511
CCDC174	1080	808	1269	742	439	732	1007	629	1349	1009	1310	1294	655	485	1004	438	1004	826	883	642
FGD5	12	3	150	12	28	9	8	127	35	120	20	29	38	83	457	18	30	14	0	24
FLCN	1566	1501	941	2681	955	456	671	1101	1111	1274	803	1568	1104	2324	1061	547	1445	1514	971	850
DPH3	786	937	455	1144	488	622	630	1311	1972	1010	446	404	278	725	238	552	1299	699	1142	445
OXNAD1	255	128	382	246	326	879	309	427	224	322	504	347	261	375	418	117	215	174	170	164
PLCL2	1761	2232	3059	632	3093	1990	4724	2219	5049	4631	5287	2591	2377	981	2858	1388	2148	1286	2148	2418
CXXC1	2416	1218	7164	810	2631	2882	3044	2726	2799	2684	1875	4030	1021	1662	2742	1052	2486	4531	1141	1838
SKA1	291	63	668	21	138	13	348	207	32	374	75	81	3	254	2468	98	242	1469	8	268
PPP4R1	5649	8220	7569	2473	3979	7758	6591	6822	12197	10268	8111	5826	4701	3853	4483	4555	9274	6502	7807	2614
APCDD1	159	840	36	47	2	39	138	21	55	1	31	267	59	24	4	439	384	1	303	15
PIEZO2	50	1	296	0	2	1	37	44	2	192	42	14	1	26	30	31	5	3	0	50
CCDC144B	61	125	835	137	482	443	819	1086	113	565	288	781	35	153	580	193	258	37	38	105
MPPE1	2157	2078	2221	309	1749	936	1506	2611	2472	2417	1045	658	837	506	1043	1639	2497	1178	2007	1073
CCDC144CP	5	5	59	3	41	41	244	28	12	7	22	55	13	10	6	9	13	12	19	3
USP43	16	6	142	8	11	11	112	37	3	39	13	51	15	24	23	8	11	44	6	71
RAB6B	142	12	224	44	52	101	8	13	177	21	101	33	26	41	58	22	89	52	37	228
EME1	248	36	281	31	95	17	80	169	29	120	25	36	10	33	298	46	51	98	12	185
EPHB1	218	445	584	898	26	436	47	143	417	347	606	117	528	445	65	260	769	9	818	48
ACSS1	1754	389	4038	154	2604	710	2578	2160	992	2744	1532	909	386	530	1499	383	899	1367	459	2607
ANKRD40	395	133	975	347	293	389	753	382	423	894	293	600	275	345	665	152	220	721	197	353
ZNF18	375	556	706	320	248	461	395	430	776	527	635	559	375	215	442	313	637	505	490	223
CA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VOPP1	1067	2572	2140	14026	1178	2101	1713	987	3758	1591	3365	2741	1245	2462	2084	1873	3923	3094	3302	580
SEPTIN14	0	1	0	2	0	3	1	1	0	0	2	0	0	0	0	1	2	0	2	0
