Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
TMEM132E	124842	3	24	44	4	14	12	29	58	8	2	14	38	3	4	16
SLC35C1	55343	604	628	1000	268	1283	882	630	1085	696	629	939	606	833	464	267
SAV1	60485	1379.5	1517.17	1074.42	1423.52	1884.68	1179.81	757.65	1699.95	1112.01	827.52	1483.33	1184.39	1650.67	1051.17	2072.31
SDPR	8436	2299	2243	1822	3025	3810	3776.88	849	1162	937	2180	2634	2457.63	1773	3655	2481
PSMB11	122706	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0
XKRX	402415	10	10	1	11	6	3	7	21	12	2	5	7	21	11	17
ZIM2	5178	15.96	14.91	10.22	24.85	59.85	32.48	10.95	74.56	10.27	23.83	10.53	32.69	12.77	8.97	9.61
PRSS35	167681	31	46	52	0	30	40	102	69	53	15	45	30	24	52	31
C5AR2	27202	30	10	43	11	82	32	98	31	20	10	333	61	27	6	40
SOST	50964	8	0	0	0	0	0	3	2	0	1	0	0	2	0	1
C2CD4A	145741	11	0	17	1	0	1	0	2	31	1	3	3	9.03	2	3
APOBEC3B	9582	2	17.9	13.93	16.52	39.82	9.24	29.92	9.82	17.14	30.17	6.95	35.25	1.03	31.64	17.6
GAP43	2596	11	14	25	15	14	2	6	8	3	6	13	16	5	1	21
UGDH	7358	917.41	943.62	1009	513.6	1712.49	907.35	785	956.42	608	556.01	1605.62	908.57	810.95	631.37	865.23
PRAMEF5	343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRAS	3845	1044.55	996.18	1033.68	853.77	2147.77	1190.25	823.98	1049.7	727.38	931.39	1169.4	1052.6	1050.95	982.91	1082.07
EDEM1	9695	1745	1841	1757	1662	2469.97	1886	1034	1932	1496	1244.71	1671.65	1790.69	2085	1239	1829
PKN2	5586	1819	2648	1592	1987	3171	1866	1110	2098	1522	1534	1701	2544	2370	1960	2721
CTC-241N9.1	0	88	65	99	91	111	77	52	79.65	54	45.85	28	189	64	71	50
EXOSC3	51010	279.9	435.68	398.58	532.99	531.34	309.99	347	388	338	249	410	456	535.95	354.29	403
CTC-432M15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX16	64089	411	444	336	340	611	428	271	652	297	252	449	343	487	399	604
MURC	347273	16	44	18	4	20	15	17	114	42	12	20	22	45	19	25
KIAA1033	23325	2067	2895	2174	2154	2841	1848	1042	1956	1497	1075	2125	2624	2284	1847	2866
NCK2	8440	1579	1234	1587	960.47	2702	1606.55	1673.9	2897.93	1507.84	885	1880	1455	1846.96	1276	1748.85
L1CAM	3897	254	237	272	185	655	264	316	248	104	110	847	53	89	41	92
ITLN2	142683	5	0	0	1	2	0	0	0	0	0	0	0	0	0	0
TLR1	7096	143.83	231.15	236.09	78.16	367.11	74.54	75.63	279.73	199.6	56.55	180.11	240.05	214	52.76	59.86
MT-ND4L	4539	15201	26407	22289	14273	33128	20627	3165	19386.7	11567	26933	19891	45495	10868	21769	9092
FAM169A	26049	46	65	35	49	59	55	65	83	86	163.86	54	78	349	151.84	100
HCN1	348980	0	0	3	1	7	2	0	1	5	0	9	1	1	1	0
AC025278.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B2	3294	0	1	8	0	3	1	2	3	2	0	1	1	10	0	1
LOXL3	84695	637.37	436.51	956.41	370.79	1111.49	777.69	612.08	602.4	430.09	328.17	875.89	738.2	448.48	479.73	481.12
LGI4	163175	3134	1052	2438	4643	3808	3710	1655	2114	1108	2177	2860	3280	1971	2805	3659
NTNG1	22854	3	17	8	35	1	4	8	15	17	26	138	25	67	25	77
HTR3D	200909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPEP	2028	1146	3963	1250	914	2779	1418	1403	2635	2184	767	650	1570	2069	661	1271
AP1B1	162	1972.53	1710.57	3182.42	1655.18	4337.77	2774.9	1930	2688.54	1578.65	2099	2940	2919.97	2421	2131.1	2176
RGS5	8490	10241.85	5860.1	5038.76	6902.16	9168.53	10670.6	10062.62	10313.1	5469.09	2707.69	4055.01	4941.38	5258.16	5605.74	10177.84
SLC6A5	9152	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ZNF236	7776	623	761	760	904	1101	588	465	813	563	625	558	1046	864	687	918
ITIH4	3700	444.42	106.5	493.09	449.6	317.32	272.47	263.92	484.28	156.02	123.34	438.88	668.05	279.91	327.41	788.49
ORM2	5005	0	5.35	23.73	7.2	2.65	1	0	8.12	3.41	0	2	0	2.3	0	4
DEFB106B	245909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A4	291	1632	1384	1820	673	2819	1965	778	1253	1010	885	1611	941	1121	1046	1476
AL590560.1	0	0	1	0	0	2	2	0	1	0	0	0	0	0	0	2
FAM181A	90050	3	1	1	1	4	3	0	1	4	0	0	2	2.37	5	1
DNAJB6	10049	5163.65	8088.42	5201.56	3482.35	5098.09	3493.81	3440.17	6427.94	4243.75	2701.46	4699.73	3617.07	8315.91	3065.38	5347.43
SDHD	6392	16.07	22.79	2.92	20.14	8.5	10.66	4.02	11.69	8.54	4.9	6.18	12.57	15.46	7.9	16.01
AC010642.1	0	42.17	45.74	63.16	28.36	63.54	32.57	30.54	74.73	23.84	45.79	42.28	43.54	58.8	40.82	54.56
TRPC1	7220	896	2089	1321	1938	1627	1466	811	1152	690	854	709	1688	1671	1179	1601
