Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
FAM208A	23272	2523.95	2703.47	2036.34	2204.85	3770.08	2313.24	1588.29	2702.78	1974	1861.27	2184.33	2805.95	3350.35	2302.09	2581.71
RADIL	55698	320	183	209	577	384	199	286	345	360	341	374	340	981	260	386
AP1M2	10053	34	8	24	2	36	12	7	9	33	10	4	7	27	4	0
TAF1	6872	1776.27	2509.46	1957	2632.47	3630.95	2132	1417	3048	1752	1866	1854	3132.99	2413	1863	2295
SIGLEC5	8778	3.83	15.98	31	5.53	50.39	33.79	5.7	2.51	4.06	9.01	74.94	13.27	35.83	1.18	10.67
KLF1	10661	0	0	1	1	0	1	0	0	1	0	1	3	0	0	1
USHBP1	83878	440	430	1165	723	727	504	589	952	399	602	460	875	688	1110	582
LRRC38	126755	0	4	6	0	0	8	8	2	2	0	2	0	2	1	0
NKPD1	284353	7	6.15	3.59	18.24	9	4.69	2.16	21	12.42	7	1	10.88	25.75	5	16
SLC26A8	116369	5	13	5	0	7	1	4	7	13	4	17	5	7	1	3
SGCA	6442	1142	849	1253	562	2169	2400	1628	2261	1250	487	860	951	118	893	983
PGF	5228	290	107	437	179	454	505	935	607	162	318	629	497	186	413	869
OR5H14	403273	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
KLHL1	57626	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TUBA3C	7278	0	2	0	0	3.04	0	3	5	2.47	0	0	1.07	0	0	0
UFM1	51569	1746	2638	1803	2539	3107	1910	1502	1973.02	1540	1572	2223	2154	3581.68	1735	2618
TNPO2	30000	2854	2882	3041	4094	4307	3549	3416	5908	2618	3616	3269	4596	5036	3329	3988
NACA2	342538	6	4.49	0	4	0	0	4	0	0	0	0	4	5	0	0
TMEM256	254863	460.84	258.23	339.53	604.46	607.97	368.6	479.1	381.99	278.87	444.09	482.04	613.34	697.6	586.51	549.76
IFI35	3430	433	286	787	503	1121	524	479	536	443	430	726	1080	669	504	578
AP001362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	89.05	0	38.16
KLF16	83855	191.31	160.74	429.91	106.91	610.64	298.52	859.08	883.53	313.43	247.39	395.92	515.55	363.4	216.82	233.63
AC026703.1	0	134.35	46.51	174.8	82.09	49.84	77.09	110.31	303.78	155.64	142.86	119.13	330.31	248.9	282.33	407.58
TCF21	6943	424	610.62	439.42	473.55	496	660	1015	628.97	149	238	836	479.01	217	188.04	897.45
GNL2	29889	892	1568	1399	797	2168	1388	1328	1998	965	1067	1237	1458	1349	1044	1319
OR11G2	390439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A7	60482	6	11	1	63	15	21	28	32	0	2	25	1	8	3	11
OR5A2	219981	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MTRNR2L1	100462977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORCS1	114815	135	112	29	274	86	108	60	118	70	173	214	50	684	217	172
NMS	129521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL3	1995	3	13	20	5	2	2	14	21	3	2	2	7	14	5	8
RAB11FIP4	84440	45	53	59	238	71	58	21	102	54	109	38	106	250	82	129
UBR5	51366	4317.84	5091.45	4477.05	4751.85	7150.39	4302.57	2394.35	6191.18	3543.75	3740.87	3621.52	5818.4	4865.76	3359.71	5470.05
NOTCH2	4853	6846.35	6991.54	6533.24	4276.52	11489.77	7377.79	3918.77	8942.42	6316.26	3750.38	5262.27	8404.09	4478.8	4774.98	5394.55
LL22NC03-63E9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMTOR2	28956	430	392	794	246	813	490	565	636	390	360	772	559	458	371	358
TIMP4	7079	318	21	159	204	900	396	86	60	18	92	449	47	17	313	36
CASP16	197350	3	0	6	9	5	17	2	2	3	4	3	21	10	6	4
8-Sep	23176	2207.63	1815.98	1913.9	2606.61	2915.63	1923.61	1414.32	1949.36	1034.3	1865.21	2227.2	2382.07	1780.43	1953.79	4324.12
GGT7	2686	938	942	1144	2097	1656	968	802	1029	726	1042	1071	1669	2143	1164	2110
APEH	327	1342	1348	2035	1286	2681	1541	1337	2120	1371	1314	1638	1804	1616	1130	1169
ASXL1	171023	3769	4839	5664	5885	5579	2555	2506	5884.02	3617	3698	3925	5222	7171	3225	6675
GNG10	2790	945.2	974.74	1036.21	525.46	1901.38	954.47	739.15	1066.85	696.23	482.06	1184.51	1049.13	915.09	850.69	1175.93
GORASP1	64689	2017	1803	2519.21	2033	3523.35	2525.26	2365	2972.33	1910	2269	2589	2605	2768	2457.42	2011.49
SPERT	220082	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0
STAU1	6780	3176	3293	3147	1675	5310	3535	2590	5145	2938	2167	3257	2672	3292	2340	3048
KCNS1	3787	1	0	6	2	1	2	2	1	1	0	0	0	0	0	0
YTHDC1	91746	2730	4212	2914	4732.98	4770	2524	1965	4727	2713	2428	2351	4124	5519	3106	4845
GNA12	2768	3372	3294	2718	2140	5905	3381	2726	3925	2701	2364	3370	3502	3297	2230	2741
AKR1E2	83592	48	51	65	105	53	44	37	89	35	48	48	83	56	60	62
LDLR	3949	925	657	1236	372	3310	3144	1334	983	813	1531	5719	2024	1815	977	3757
RNF169	254225	871.17	1704.28	1140.11	1344.36	1410.04	762.43	765.42	1245.72	772.52	606.82	1005.4	1502.23	1205.17	652.47	907.32
CFHR2	3080	0	0	3	0	1	0	0	3	0	0	0	0	0	0	1
KRT9	3857	0	1	0	0	7	0	15	0	0	2	0	10	0	0	0
ORMDL2	29095	439.72	387.82	882.12	269.34	1013.51	564.88	416.15	451.8	358.51	440.12	525.74	584.27	515.9	504.97	301.09
OR51B5	282763	1	1	0	7	5	0	2	1	0	0	0	4	0	1	4
SPINT4	391253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAC1	5879	7721.42	9353.08	7653.64	4902.52	11691.55	7131.23	6523.68	9497.45	6193.8	4970.26	6819.39	6890.45	8979.91	5844.39	7117.63
CIZ1	25792	3736	3623	3460	4774	6393	4050	3269	5492	3139	3871	3402	4808	5626.06	3696	5264
LYST	1130	1921.83	1956.43	1400.45	2345.64	2664.77	2023.19	1060.38	2095.33	1228	1278.61	1565.47	1613	2095.35	1677.6	2910.22
SHISA9	729993	1	3	5	6	15	16	14	5	5	5	21	7	0	0	2
B4GALT6	9331	105	136	118	89	221	98	129	181	111	96	133	111	207	130	108
HSFY2	86614	0	0	0	0	0.5	0	1	0	0	0	0	0	0.5	0	0
AUH	549	399	447	467	700	689	394	168	495	367	249	404	450	470	325	446
NT5DC1	221294	815.37	496	512.79	498	922.95	834.25	353	809.8	560	445	523.93	674	638.68	547	569
AP001421.1	0	0	0	0	0.41	0	0	0.5	0	0	0	0	1.46	0	0	0
SERINC4	619189	25.03	24.87	17.35	38.49	16.22	23.21	17.33	31.6	19.4	8.4	9.36	33.36	49.72	37.08	28.57
ATP13A2	23400	903	745	1307.99	918	1327.96	811	989	1434.33	680	1160.98	1039.99	1136.97	1814	852	894
CTRL	1506	14.97	31.51	16.91	38.2	35.7	30.42	38.1	58.36	15.77	26.47	15.41	52.43	100.33	46.46	66.87
MALSU1	115416	378	413	451	312.91	767	441.96	378	519	298	357	477.96	444.98	498.95	349	423.98
HRH4	59340	3	7	7	12	4	2	4	2	0	2	4	2	7	5	7
P2RY11	5032	143.17	244.85	282.63	265.16	315.25	285.37	220.94	423.44	179.16	253.34	230.28	226.46	409.7	237.46	223.53
INF2	64423	2504	2627	4447	3393	4400	3257	3767	4848	2250	2261	3353	4535	3480	3660	6469
NEDD4L	23327	277	1018	506	395.61	675	335	233	845	653	414	199	852	739	529.76	492
TBCE	6905	356	588	661	689	715	481	520	705	377	386	452	674	732	593	611
TMLHE	55217	295.21	356.68	329.65	358.56	539.7	350.67	325.96	343.41	252.77	211.57	325.05	450.7	364.09	344.64	421.04
NLRP1	22861	2842	2501	4610	3934	3471	2337	1802	5324	2371	2731	3166.66	4039	5744	2916	5761
ZMYND8	23613	1102	555	1058	778	1905	826	600	943	625	686	1039	800	1142	860	613
RP11-345J4.3	0	1.23	0	2.02	6.06	0	1.9	0	7.24	4.41	0	3.68	3.1	2.1	0	4.49
EIF5AL1	143244	31.46	42.69	31.87	11.56	39.85	21.07	40.48	14.01	19.06	16.07	21.87	33.04	31.62	29.26	11.03
MCM10	55388	3	4	18	5	6	3	2	5	1	2	6	9	3	5	4
SREBF2	6721	2482.32	2800.4	2875.34	2367.21	4800.18	4077.82	4264.46	4281.64	2709.47	3633.05	1834.38	5354.21	6018.91	3352.72	4184.35
RPP30	10556	579	646	550	672	875	576	556	966	578	473	581	828	909	685	807
ACAD10	80724	538	652	878	1233	1032	617	690	1042	723	487	726	1013	1295	675	849
PITRM1	10531	3097	3084.83	2820.34	3952.21	4178.61	3120.65	2303.82	4234.74	2563.26	3036.41	2767.59	3284.46	4580.22	2747.05	3701.13
RP11-351M8.1	0	3	2.55	3	3.46	0	0	0	4.52	0	0	0	0	0	0	3
AC011308.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC36A4	120103	556	984	622	545	1138	596	406	772	506	475	715	566	710	490	457
GEMIN5	25929	640	872	743	665	1483	756	699	1104	638	654	750	1108	886	747	663
SSC5D	284297	3854	4121	3737	2138	14417	6653	2858	3022	3688	3164	1636	3399	2490	2053	1582
NHLH2	4808	0	1	0	0	3	0	0	0	3	1	0	2	2	1	1
RHBDL1	9028	27	67	72	88	24	47	77	100	43	41	51	62	127	27	99
EIF2B2	8892	690.9	673.75	808.57	630.88	1008.74	621.82	753.97	1157.43	702	523.9	646.95	757.51	1050.48	650.78	777.93
TARDBP	23435	4998	6671	5281	6596.29	7745	4851	4451	7070	3979	4880	4628	8166	7475.89	5944	8072
EMC7	56851	1059	1167	1399	690	2119	1361	912	1405	991	766	1379	1011	1165	808	940
DDX58	23586	738	758	1125	490	1265	484	377	925	764	314	530	894	679	478	759
C1QTNF6	114904	514.25	487.42	794.16	561	835.77	397.6	820.68	1370.66	723.35	350.84	488	809.49	817.85	505.42	565
C8orf59	401466	630.17	648.45	692.82	782.78	854.2	647.59	618.71	1081.85	527.05	603.58	562.77	920.32	969.54	680.76	838.07
NME3	4832	1442	764	959	2324	1653	1188	1358	1603	960	1302	1088	1881	2538.99	1736	2436
TNC	3371	15262	27040	42142	297	48993	19228	5234	2665	11503	3822	14886	3566	5428	1784	2251
NBPF20	25832	262.45	459.4	299.43	400.31	447.76	310.53	261.96	397.51	299.16	357.66	362.07	464.43	399.81	338.99	440.05
CXorf40B	541578	483.7	637.91	623.83	831.72	969.01	612.44	669	1089.76	542.21	613.06	462.77	811.42	953.91	536.81	885.27
WDR82	80335	3994	4014	3786	2481	7945	5163	3850	7266	4312	3615	4227	4780	4659	3371	3657
MYO1E	4643	1861	4235	4434	1046	2339	1686	1074	4787	2838	851	1344	1874	3863	1076	1160
STC2	8614	83	104	104	21	79	122	134	188	130	19	241	289	56	25	261
POTEE	445582	0	0	0	0	21.08	0	0	0	0	0	0	0	0	0	0
OR9A2	135924	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0
CDC23	8697	703	909	837	923	1191	765	760	1306	803	654	879	1091	1051.96	728	952
SNX27	81609	1589	1359	1641.75	1961	2435.66	1853.89	1572.03	2357	1343.72	1387.38	2111.56	2206.22	2348.99	1357	2124
SLC6A3	6531	30	7	3	39	19	29	10	6	1	23	37	31	101	14	75
GRAP2	9402	38	67	77	46	86	41	111	248	89	26	40	142	159	30	85
TMC3	342125	3.04	8.1	6.14	14	10.22	3	5	6	2	2	12.28	9.09	7	3	10
TOMM6	100188893	1173.96	1184.35	1625.04	1178	2131.69	1316.22	1360.69	1690.72	1045.9	1163.33	1407.85	1948.39	1936.83	1492.34	1575.02
CCT5	22948	2108.88	3158	3701.12	1228.67	5259.66	3187.43	3327.3	3698.64	2507	2674.67	3889.24	3217.41	2583.2	2830.84	1944.08
RGS17	26575	95	117	56	282	80	45	73	77	59	69	66	193	257	164	113
YKT6	10652	1657	1854	2399	1101	2793	2156	2218	3128	1605	1460	2091	2034	2134	1455	1315
RPL36A	6173	7061.05	7580.42	9123.9	9160.26	9825.02	6282.7	7700.64	10506.09	4465.31	7750.89	9467.51	15626.65	13671.49	8090.91	11448.14
AC017081.1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0.5
GGNBP2	79893	2452	2345	2496	2628	3926	2320	1570	3450	1836	1709	2697	2655	2754	2156	3010
NOL10	79954	438	684	602	504	880	507	560	786	481	433	720	607	704	487	635.99
CTU2	348180	368	425	429	401	735	508	443	538	344	489	423	414	572	367	420
BARX1	56033	22	4	7	20	6	10	6	4	2	0	2	5	3	6	39
NELFCD	51497	1786	2257	2076	3379	3077	1843	1993	3274	1802	2633	2361	3365	4218.97	2653	3986
KBTBD3	143879	203.09	230	166.09	320.7	229.27	152	119	170.18	163	110.18	116	204	264	143	196
USP30	84749	502	558	480	690	745.9	607	510	1054.93	561	565	454	708	959	522	786
NFAM1	150372	91	25	54	22	183	62	63	95	27	30	136	148	94	34	114
ZNF850	342892	114	137	105	117	169	132	103	188	108	75	90	144	217	141	121
SUSD2	56241	2675	153	1248	468	1231	1082	606	563	242	342	997	1257	123	1638	2162
UBE2U	148581	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ARL17B	51326	167.55	229.07	157.82	299.22	408.43	155.26	205.26	249.66	261.78	83.43	162.26	276.4	358.64	166.06	283.54
KMO	8564	5.83	3.34	7.33	2	9.68	3.72	35.25	12.44	5.85	0	7	18.93	26.79	0	8.22
ALX1	8092	39	13	8	29	30	22	19	13	0	17	18	11	2	12	16
CORO7	79585	793	790.85	1009.71	1031.23	1225.32	890.7	802.91	1525.43	686.71	702.26	992.73	1118	1355.96	736.98	1249.99
OR11A1	26531	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CITED2	10370	10522	6381	6972.4	3851	19328	6762	1540	1422	2328	2832	1938	2752	3735.01	3666	2613
TP53TG3D	24150	47.31	80.9	26.09	88.83	8	15.12	4.15	26.16	11.62	13	2	43.9	72.91	29.28	2
ARL5B	221079	529	1011	521	783	825	583	580	1090	728	562	556	780	1218	498	2620
NEO1	4756	2504	1864	1669	1566	4477	3090	1929	3955	2816	1940	1479	2587	2413	2006	2186
ELF2	1998	1427.99	1896.99	1306	1334	2180.97	1103	1062.99	1727.99	1183	1158	1327	1704.99	2032	1353	1331
SDR42E1	93517	56	161	132	132	186	105	149	150	163	80	12	132	146	89	26
NBPF4	148545	0	0	0	1	1.9	0	0	1.29	0	0	0	4.52	0	6.36	5.14
KIF13B	23303	1318.59	1813.63	1814.06	862.01	1530.14	1154.71	526.55	2128.5	1439.44	690.11	1257.35	1146.34	1748.83	575.63	881.56
NOTCH3	4854	16588	4428	12756	6726	14413	11019	6667	14521	6090	5369	10704	14216.97	4819.02	8347	21501
SF3A3	10946	1985	2419	2451	1314	3512	2268	1924	3284	1802	1830	1963	2339	2179	2126	2038
OLFM1	10439	1873	662	1812	1455	2597	1344	821	933	467	1485	1628	1798	1009	1043	1281
CETN2	1069	1261	1491	1554	1100	2430	1520	1832	1571	1302	1484	1382	2449	2153	1772	1230
CDH26	60437	26	50	50	102	60	30	41	49	50	37	98	82	78	24	89
FBXO30	84085	1207	1553	856	519	2205	1116	759	1209	940	557	786	1125	1030	718	763
MIPOL1	145282	262	311	200	513	319	279	171	258	171	215	189	402	475	341	594
OR5AK2	390181	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
SLC48A1	55652	1398	970	1304	1598	1692	1326	1004	1856	859	1279	1201	1523	2465	1463	1576
FAM19A5	25817	108	234	60	161	225	63	263	803	470	267	384	92	1531	233	276
LY6K	54742	18.41	13.12	18.03	29.48	15.55	17.39	6.9	29.62	9.9	8.24	13	18.05	34.34	9.11	22.94
OR2T10	127069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR8	51311	42	12	20	0	55	18	4	36	17	11	100	45	9	7	6
EIF5	1983	6839	4987	3523	4752	8197	6850	3187	7265	4777	4378	3768	5453.97	6251	4173	4647
AP2S1	1175	906	727	1430	450	1697	1048	1004	1338	719	723	1715	1106	820	795	914
MAGEL2	54551	33	46	46	14.73	151	57	266.11	91.43	82	57	34.9	75	60	41.15	37
RP11-383H13.1	0	279.13	281.8	245.81	166.06	323.31	169.38	254.39	247.02	116.08	113.09	355.25	369.41	167.44	184.27	673.9
ATIC	471	1401	1571	1536	897	2737	1702	1580	2238	1323	1246	1655	1819	1473	1138	1292
C9orf147	0	3	12	2	13.16	19.24	6	7	7	4	8	13	29	6	6	12
RP11-178L8.4	0	3.69	0	40.6	22.76	38.35	28.05	25.51	32.48	22.01	9.13	11.54	30.46	13.27	19.36	22.97
REXO1L1	0	0	0	0	0	10.84	0	0	0	0	0	0	0	0	0	0
CEP68	23177	1900.05	1874	1703.45	2210.86	2737.49	1798.31	1467.94	3333.7	1763.69	1404.2	1616.52	2479.19	2649.34	1748.08	2253.23
ELMSAN1	91748	2047	2481	1895	3389	3857	2594	1805	2569	1437	2203	2188	3528	2839	2563	4028
IL10RA	3587	577	253	355	304	1080	406	309	662	351	103	628	944	516	170	627
EZH1	2145	3600	4866	3568	8353.82	5443	2931	2735	5072	3200	3477	2756	5740	7984	3964	7224.77
SHARPIN	81858	1382	946	1414	1495	2087	1313	1554	1751	1128	1318	1566	1713	2064	1376	1467
PSG1	5669	0	0	2	0	4.79	0	1	0	0	0	0	0	0	0	0
GTF2H3	2967	583	713	627	469	1189	810	508	627	512	504	592	764	613	597	384
AL353583.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ITGB1	3688	28933.24	33464.47	33287.72	6814.23	61716.53	28932.29	17468.98	22567.46	24249.17	11438.79	23694.45	18563.14	13722.54	12429.74	12653.92
USF2	7392	3162	2904	3482	4328	5319	3439	3504	5740	2934	3539	3158	4852	5891	3772	4357
NECAB3	63941	776	315	774.46	834.86	862.9	736	860.11	838.98	412	517.89	1042.72	907.37	645.44	772	1132.17
RP11-108K14.8	0	0	10.92	0	0	0	0	0	12.22	4.98	5.29	5.41	6.08	7.14	6.28	0
MXD3	83463	226.65	207.9	285.26	480.85	331.24	266.67	315.68	452.27	202.86	318.08	329.31	384.37	503.35	233.63	641.4
RPF1	80135	653	786	691	646	1124	672	729	1048	746	536	757	832	1018	771	741
DYNLL1	8655	3126	2773	3060	2284	8789	5005	5502	3008	2392	3076	3422	3725	4688	3386	3433
SGOL2	151246	49	83	73	48	109	54	39	71	75	63	88	74	83	49	44
PRL	5617	243	106	472	16	26	15	111	637	143	6	80	52	38	7	119
WWC1	23286	4	4	2	6	4	7	7	7	18	3	6	3	133	4	2
TPPP3	51673	368	548	1106	228	678	749	1228	758.43	494	291	405	691	1004	361	642
NTPCR	84284	817.1	965.36	1016.79	822.73	1349.12	761.88	827.04	1231.76	846.83	612.69	763.3	1210.57	1167.84	761.4	828.49
OGN	4969	2665	4781	410	1827	5010	3518	7354	6632	3366	971	765	4802	2420	1935	6645
MTRR	4552	1017.82	1375	929	1066.69	1726.11	1089.31	762	1053.09	881.96	846.7	1268.95	1033.21	1273.63	842	848
C1QL3	389941	17	18	9	5	60	8	6	14	11	15	3	16	10	4	7
SPG20OS	0	15	41	17	33	28	17	19	27	11	28	20	17	42	15	23
C19orf60	55049	1051	798	1341	1857	1851	854	1394	1880	1040	1146	1021	1725	1768	1180	1776
NUTM2E	0	0	6.53	12.17	6.92	15.96	35.59	0	10.81	25.03	2.82	0	17.75	42.55	2.46	30.35
PMCH	5367	0	0	2.5	4.1	0	0	1.4	0	0	0	0	0	0	1.11	1.08
FGB	2244	1	23	90	12	2	0	0	56	22	0	17	0	0	3	8
VCY	9084	0.5	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0
GPX2	2877	14	4	8	4	3	1	2	7	11	1	6	1	2	4	1
TRIM52	84851	757.48	1228.54	997.88	1975.75	1185.52	700.63	975.32	880.17	635.79	725.13	823.03	1530.73	1970.18	988.27	1470.4
FPGT-TNNI3K	51086	145.51	170.71	121.84	349.89	384.21	227	160.89	200.36	90.78	52.56	71.71	268.2	114.31	95	304.65
CLDN16	10686	6	21	13	24	24	14	20	6	5	17	0	48	13	25	23
DNAJB8	165721	0	0	1	1	4	1	2	2	0	0	0	0	0	1	1
AC092384.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGES3L-AARSD1	100885848	48.31	137.76	378.1	36.73	237.56	67.1	139.47	27.67	78.57	37.49	58.37	100.26	36.92	25.1	23.37
JAKMIP3	282973	148	112.62	59	167.76	288.84	215	85	247.28	101	179	88	249.66	109	135	161
CLCN4	1183	43	73	57	80	118	70	27	129	82	46	91	73	44	40	45
RP11-1084J3.4	0	45.78	12.04	6.35	37.43	122.72	0	0	78.96	0	65.37	23.13	70.41	67.97	52.96	86.5
CACNA2D1	781	1158	1739	649	786	1740	1143	626	1151	814	587	656	1063	825	826	1448.97
ALPK2	115701	11.22	11	15	0	13	6.23	0	2	15	0	5.07	6.42	6	1	21.39
FABP2	2169	0	1	1	0	1	1	0	1	0	0	1	0	0	0	1
OR14I1	401994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF234	10780	209	385	356	294	430	181	172	429	245	162	231	281	369	206	236
NNT	23530	1275	1111	1375	885	2460	1398	898	1854	1068	701	1492	1205	937	935	1379
AC008948.1	0	0	1	3	0	1.17	0	0	5.62	0	0	1	0	2	3	3.46
SAAL1	113174	207	317	319	436	401	258	265	463	252	165	236	371	422	306	279
IARS2	55699	2444	2693	2515	1568	4300	2419	1938	3541	2100	1794	2600	2902	2145	1882	2463
SRC	6714	2867	3300	3625	3247	4898	3893	2749	5127	2747	3266	2515	4464	4774	2803	2641
TMEM105	284186	1	0	1	0	1	5	2	8	0	1	2	1	0	3	2
OR56A1	120796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYNN	55892	629.33	890.27	675.82	845.69	1145.82	619.26	583.24	918	586.21	577.35	661.07	874.32	974.01	665.39	1058.84
GPER1	2852	404	60	435	225	731	326	301	413	156	218	216	341	150	381	233
KRBA2	124751	69.04	179.11	146.04	124.87	213.56	89.28	83.68	144.86	133.4	77.43	104.84	219.1	140.86	85.31	71.04
RNF183	138065	13	6	9	29	7	16	9	8	26	10	7	17	108	7	15
STRN3	29966	1097	1192	1239.97	1098	1842.98	1255	757	1327	794	569.99	1032	1237	1214	897	1624
FLJ00418	0	73.93	115.61	159.48	208.74	301.94	337.9	269.89	275.85	220.88	387.57	125.36	345.97	316.69	217.95	281.87
GPR84	53831	11	9	3	0	17	12	8	4	1	1	21	21	2	7	8
LRRC6	23639	46	73	82	141	57	58	66	67	56	73	117	124	157	74	89
DNPH1	10591	366	437	530	307	1433	521	621	558	367	622	634	875	531	452	371
FAM134A	79137	2524	2639	2682.23	2616	3872.09	2607.62	2177	4585.13	2675	2122	2625	3200	4578.45	2091.07	3071
GHRH	2691	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf51	339263	705.12	1040.03	729.36	1090.17	1011.02	677.56	717.24	1187.4	662.94	778.38	535.46	974.95	1349.01	731.58	698.48
COPG2	26958	434.14	370	510.95	466.88	824.41	436.3	330.63	709.69	394.24	516.94	264.33	666.26	548.69	515.6	504.53
NDNF	79625	68	116	57	92	112	60	94	122	85	84	71	137	154	91	169
RCC1	1104	420.17	504.43	456.06	306.05	449.31	331.42	537.52	604.35	552.55	423.5	798.17	580.31	847.4	278.78	348.39
UBALD1	124402	944	1041	1118	1227	1315	613	948	1825	1090	987	945	1198	2534	809	1687
TMEM64	169200	1162	1119	912	470	3176	1344	729	1076	702	635	1145.51	825	843	864	893
KCNE4	23704	1029	614	1398	178	5198	5586	5028	3088	2752	431	930	1628	404	407	400
TMEM151B	441151	1.37	17.83	13.13	9.6	8.5	4.7	6.54	15.55	7.54	11.76	2.75	7.76	10.25	4.36	5.18
SDR9C7	121214	17	17	5	24	24	17	13	31	10	12	9	31	33	15	36
CCL22	6367	6	1	4	4	18	4	0	5	2	2	7	5	2	1	0
RP11-761B3.1	0	0	1.92	0	0.7	3.52	0	0	0	1.73	0	0	3	0	0	0
ACTL6B	51412	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0
ABCA12	26154	0	4	1	3	2	2	0	1	1	2	1	1	3	0	0
ZNF729	100287226	0	0	2	0	4	0	1	1	0	0	0	1	0	1	0
GPR112	139378	51	3	2	467	66	134	0	5	0	38	36	77	5	50	255
MAP3K8	1326	605	1241	876	677	904	515	127	308	491	262	891	423	524	219	1189
FAHD2B	151313	596.61	674.15	449.24	1337.74	965.52	610.55	635.6	982.49	613.98	839.59	344.9	1004.39	1184.74	904.61	937.77
GSTT2	2953	189.97	128.62	338.62	96.08	563.34	159.18	411.16	641.82	64.12	231.75	85.05	357.13	208.05	216.25	183.92
ELSPBP1	64100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THAP6	152815	349	605	453	762	538	363	309	442	367	265	327	637	649	439	449
AFP	174	1	1	13	0	3	2	11	4	0	4	0	0	1	0	0
AL358333.1	0	1.61	7.38	0	2.82	7.09	3.69	4.17	5.87	2.94	4.85	2.63	12.23	7.64	0	6.18
PAEP	5047	321	0	0	1	0	24	0	0	594	0	1	0	10	0	0
CASP9	842	601	884	612	2399	788	613	700	771	764	981	684	1275	2616	856	1827
CHRND	1144	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0
BICC1	80114	674	683	201	708	704	468	410	394	226	317	1245	557	530	369	1517
MTCP1	4515	175.96	133.67	155.72	126.96	241.06	197.39	138.44	209.77	125.61	170.63	148.65	194.89	174.3	140.22	115.72
CYR61	3491	10710	11114	7717	2378	33648	9902	8339	3546	4200	2899	18040	20320	10284	4095	53200
ECM1	1893	983	1674	1600	344	1673	2458	1222	1876	2005	255	1156	1031	3700	430	672
PLA2G2A	5320	760	96	695	46	285	481	14	23	27	11	61517	80	21	21	9
NEIL3	55247	3	0	2	0	1	0	0	1	0	0	1	2	1	1	0
RPL26L1	51121	209.84	379.52	444.87	169.46	518.48	320.13	376.3	363.11	233.64	239.56	422	346.84	332.61	280.97	231.74
FSCN3	29999	6.26	6	2	8	6	14.28	10.03	11.11	0	5.22	3.17	7	12.17	10.91	18
MED7	9443	300	348	327	318	473	295	248	343	291	202	257	391	419	238	287
ANGPT2	285	479	227	292	81	188	85	204	324	134	87	585	288	195	117	858
SERPINF2	5345	365	128	302	198	894	457	71	210	80	247	1490	264	234	290	149
ATF6B	1388	2369	2337	3054	3612	4503	2966	2616	3973	2596	3106	2864	4639	4582	3420	3402
RARS	5917	1001	1332	1480	1100	1652	1021	991	1600	1070	908	1216	1472	1405	1003	1298
LSR	51599	391	256	814	345	768	615	370	1112	528	622	415	515	525	881	319
RP11-296A16.1	0	0	0	10.23	14.35	7.47	0	0	0	0	0	0	0	0	11.21	0
RPE	6120	641.35	1052.56	800.17	798.48	1319.67	627.59	733.58	723.79	582.83	525.23	859.18	1002.87	790.64	672.85	1068.55
