symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
FAM208A	3043.6225264963896	-0.22655764086157731	0.05217910223940139	-4.341922937311472	1.4124107688329876e-5	1.9684566430278763e-5
RADIL	309.66554421439116	-2.2445164151586026	0.17564922616195083	-12.778401956004803	2.1647162657955617e-37	7.97288818723688e-37
AP1M2	3378.724704023201	4.2107919705445775	0.2559574429073546	16.451140950289535	8.230310846143398e-61	5.469689731925995e-60
CAMP	22.703908681563934	4.601729762420941	0.36463913586360724	12.61995575851247	1.6391334165947856e-36	5.909935925532432e-36
NEB	145.9810850286813	0.6898996322345857	0.186067624808307	3.7077897508787094	2.0907612809971824e-4	2.7591418330762205e-4
TEPP	56.4483317992824	-3.3810334422129715	0.23076785880356587	-14.651232020534426	1.3229489669588405e-48	6.440102792469612e-48
CD151	13519.1402514967	-0.08971518523580516	0.07758750758819881	-1.1563096692314807	0.24755451471142498	0.26791825103849815
AC009403.2	88.22988414208534	0.9463956418514173	0.08954972598090082	10.568381214848886	4.176411783884474e-26	1.1319485956829402e-25
