symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
FAM208A	3043.6225264963896	-0.22655764086157731	0.05217910223940139	-4.341922937311472	1.4124107688329876e-5	1.9684566430278763e-5
RADIL	309.66554421439116	-2.2445164151586026	0.17564922616195083	-12.778401956004803	2.1647162657955617e-37	7.97288818723688e-37
AP1M2	3378.724704023201	4.2107919705445775	0.2559574429073546	16.451140950289535	8.230310846143398e-61	5.469689731925995e-60
TAF1	2244.948024440358	-0.7480149219401707	0.060892005480049506	-12.284287831269546	1.1000950980510666e-34	3.7694098893183193e-34
SIGLEC5	24.74531859675838	0.5922401827682238	0.2004483906100289	2.9545768911680783	0.0031309812130238587	0.003879089876255932
KLF1	5.0885575627798865	2.743878524618636	0.21218501775889478	12.931537549632733	2.9878326970687125e-38	1.1234870180915574e-37
USHBP1	452.34530761465555	-2.2762543324646956	0.13681376167250558	-16.637612361784342	3.721643608276136e-62	2.562496394115899e-61
LRRC38	5.067696835491499	-0.3216942560791018	0.3280290309362899	-0.9806883712727901	0.32674644014299664	0.34900274717499047
NKPD1	32.991438426860675	1.6875045305414937	0.1630512252710167	10.349536029162593	4.205187195688286e-25	1.1062014106332111e-24
SLC26A8	8.424339098431147	0.1926160818570771	0.1744078192311316	1.1044004948070318	0.2694194462559231	0.29047284367846526
SGCA	527.279435953533	-5.307488079092006	0.20792253031476518	-25.526276883304675	1.007260163146764e-143	3.93004755698317e-142
PGF	392.79301174436	-0.5850258910218069	0.1534426060194379	-3.8126691549262177	1.3747408031733756e-4	1.8297940277290406e-4
TUBA3C	1.7601176981004394	-0.4261612617986641	0.42755751233089667	-0.996734356216499	0.3188934687226442	0.3410364988526339
UFM1	2961.0027221670407	-0.12044396306016858	0.05389016400171605	-2.2349897294120913	0.02541802302584936	0.029757965526100855
TNPO2	4534.448776932406	-0.1797880998705592	0.05541780773740891	-3.2442297378933684	0.0011776871770810629	0.0014960634682664698
NACA2	4.306101135442917	0.5888430429046393	0.2311694767375043	2.5472352631280883	0.010858020399685711	0.01299881650356304
TMEM256	1274.5101051272848	0.8906491744180044	0.0925853803464566	9.619760388575118	6.598469135946939e-22	1.5883776772387595e-21
IFI35	1303.6218817136569	0.8585887444224156	0.11993591507162209	7.158729258952103	8.142832159305617e-13	1.4822454486433413e-12
AP001362.1	17.24372003499386	1.101567306022375	0.326996120660973	3.368747322738031	7.551061750412087e-4	9.694233890300488e-4
KLF16	901.6736770483212	1.0941622783640554	0.09201950043336748	11.89054790790081	1.3253427233788333e-32	4.310809076777012e-32
AC026703.1	322.51699312378423	-0.0543282932940721	0.1834206830796378	-0.2961950221856048	0.7670811500996968	0.7831931376856692
TCF21	299.18237730256993	-4.27939486415112	0.2362297701002026	-18.115391901435245	2.409507220422485e-73	2.1503044515555902e-72
GNL2	2915.798611675083	0.9420833589062604	0.051783158738879904	18.192852306611492	5.879903637917777e-74	5.333954585137112e-73
SLC5A7	15.510656734074695	-3.5058135402316055	0.32586518722789737	-10.758478283781129	5.4055379021407814e-27	1.5032598736747424e-26
SORCS1	135.08755625735745	-2.856699567390972	0.23103394426692883	-12.364847842836625	4.049774488503901e-35	1.4046082688764342e-34
ELAVL3	8.155542841743253	-0.604474991770663	0.26970251489431063	-2.2412656849252626	0.02500887032597796	0.029292184268832674
RAB11FIP4	2979.388046785073	4.129041209706335	0.16068817615312303	25.69598652841568	1.2960765663689283e-145	5.36865688210764e-144
