Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
FAM208A	23272	2715.29	2192.72	3086.56	2888.33	2074.97	3125.08	2388.48	1791.53	3661.58	2231.58
RADIL	55698	517	914	884	361	326	708	235	226	1614	811
AP1M2	10053	4	2	2	6	19	4	5	23	66	3
TAF1	6872	2673	3581	2568	2741	1711.85	3010.35	2272	1632.98	5170.2	2064.3
SIGLEC5	8778	9.49	18.69	11.83	17.94	47.18	3.9	9.26	0	6.37	9.34
KLF1	10661	1	7	1	0	0	0	2	0	0	1
USHBP1	83878	334	529	920.62	924	1120	730	457	705	528	205
LRRC38	126755	2	0	2	0	3	0	0	11	2	3
NKPD1	284353	10	9	4.76	22.4	6.32	10	12	6	23	7.12
SLC26A8	116369	8	8	12	4	6	6	2	4	4	17
SGCA	6442	1264	479	936	1137	542	1081	2106	1430	84	341
PGF	5228	642	289	534	252	422	226	309	238	61	141
OR5H14	403273	0	0	0	0	2	0	0	0	0	0
KLHL1	57626	0	0	0	0	0	0	0	0	0	1
TUBA3C	7278	1.09	12.23	1	2	2	2	1.07	3	0	2
UFM1	51569	2299	5104	2983	1572	1596	2792	2001	1502	4638	2096
TNPO2	30000	3618	4702	3708	3725	2841	4464	3812	2398	8606.14	3371
NACA2	342538	0	5	6	0	5	3.89	0	3	5.28	0
TMEM256	254863	417.73	961.97	652.42	539.62	483.22	389.87	369.91	322.58	689.36	324.99
IFI35	3430	672	739	489	553	528	759	470	528	701	573
AP001362.1	0	0	0	13.58	18.68	5.89	0	34.61	0	0	4.04
KLF16	83855	336.12	142.76	110.98	463.54	322.48	247.14	422.39	648.7	318.8	217.36
AC026703.1	0	56.06	57.99	564.36	282.34	201.1	284.25	112.2	115.96	218.76	91.33
TCF21	6943	466.45	370.81	539.45	362.8	399	764.43	375.57	371.82	101	1034
GNL2	29889	1724	2307	1348	1085	946	1253	1470	930	1631	924
OR11G2	390439	0	0	0	0	0	0	0	0	0	0
SLC5A7	60482	26	17	39	16	13	50	11	2	0	214
OR5A2	219981	0	0	0	0	0	0	0	0	0	0
MTRNR2L1	100462977	0	0	0	0	0	0	0	0	0	0
SORCS1	114815	92	214	141	168	107	129	42	10	4321.05	224
NMS	129521	0	0	0	0	0	0	0	0	0	0
ELAVL3	1995	6	0	5	20	7	2	3	1	27	4
RAB11FIP4	84440	171	175	176	57	67	167	35	19	439	137
UBR5	51366	5950.37	8545.16	5570.53	4996.76	3839.3	6390.86	4927.77	2971.19	8065.13	5229.3
NOTCH2	4853	7022.11	5790	4655.39	4483.71	3904.36	6827.56	6742.07	4438.61	7573.3	5814.96
LL22NC03-63E9.3	0	0	0	0	0	0	0	0	0	2	0
LAMTOR2	28956	451	349	398	546	477	371	410	458	628	301
TIMP4	7079	649	162	256	26	152	58	155	442	38	89
CASP16	197350	3	9	6	4	5	6	0	3	23	2
8-Sep	23176	2043.64	3264.41	4268.71	2168.34	1796.16	2565.39	1906.38	1650.12	2849.96	2432.62
GGT7	2686	1335	2214	1659	1464	771	2325	991	715	3533	1348
APEH	327	1569	1458	1118	1343	1530	1376	1520	1337	2821	890
ASXL1	171023	4729	10779	5868	5010.75	4571	10825	5666	3009	7441	7128
GNG10	2790	1084.55	1042.35	1068.26	555.04	759.94	874.23	869.85	1192.38	744.52	875.06
GORASP1	64689	2445.24	2754.26	2658	2204.94	2666.41	2008.36	2935.91	1883.66	3219.25	1531.83
SPERT	220082	0	2	0	3	0	0	0	0	0	0
STAU1	6780	2835	3094	3022	2661	2939	2539	3546	2487	3204	2448
KCNS1	3787	2	0	0	0	1	3	1	3	0	2
YTHDC1	91746	3753	7011	5792	4568	2681	5080	3416	1821	8131	4132
GNA12	2768	4365	2800	3013	3431	2117	3028	3164	2725	4752	2765
AKR1E2	83592	55	82	62	62	66	76	50	70	100	78
LDLR	3949	4758	1544	820	1393	637	982	2363	530	4466	1384
RNF169	254225	1039.43	1280.85	1997.47	1247.11	1088.16	1484.97	1160.73	711.16	1344.42	930.09
CFHR2	3080	0	0	0	0	3	0	0	0	2	0
KRT9	3857	5	3	0	0	0	0	11	13	0	0
ORMDL2	29095	586.28	539.34	469.15	373.04	488.92	396.98	380.96	532.34	432.97	274.18
OR51B5	282763	2	3	0	0	3	0	2	0	3	3
SPINT4	391253	0	0	0	0	0	0	0	0	0	0
RAC1	5879	7096.12	8020.77	8479.89	5936.84	7706.93	6624.92	7625.56	7269.44	6351.35	6525.53
CIZ1	25792	4100	5246	4745	5397	3299	6030	4250	3332	8963.59	4199
LYST	1130	2030.63	2221.62	2846.95	1325.16	1470.34	2091.81	1536.01	1529.59	2538.67	1809.06
SHISA9	729993	6	6	15	0	6	3	3	3	6	14
B4GALT6	9331	76	106	173	100	112	113	237	57	179	168
HSFY2	86614	0	0	0	0	1	0.5	0	0	0	0
AUH	549	629	703	780	463	381	621	452	242	1069	512
NT5DC1	221294	891	435	770.66	453.6	509	792.17	557.14	738	932	453
AP001421.1	0	0.11	0	0	0	0.4	1.04	0	0	0	0
SERINC4	619189	28.71	34.73	19.25	48.97	12.79	5.92	16.04	35.17	69.54	28.68
ATP13A2	23400	1140	835	1223	1317.99	910	1133	811	901	1669.86	742.97
CTRL	1506	27.62	39.92	20.38	50.08	26.15	69.66	29.5	26.66	119.41	57.24
MALSU1	115416	552.88	534	400	456	333.99	368	459	393	669.98	325.97
HRH4	59340	4	0	18	20	2	6	3	5	4	12
P2RY11	5032	239.25	242.26	241.23	267.1	229.25	327.81	252.61	161.64	473.19	231.56
INF2	64423	3565	4622	4236	4599	3674	4730	2633	3336	3445	3332
NEDD4L	23327	572.32	472	380	639.49	306	799	655	802.94	572	424
TBCE	6905	596	709	947	551	492	801	575	467	894	495
TMLHE	55217	344.58	249	454.48	276.91	268.62	488.4	367.34	423.72	393	304.79
NLRP1	22861	4059	3892	5467.26	4131	3065	5378	2179	2262.97	6987.04	3680
ZMYND8	23613	1110	938	1010	917	782	935	822	760	1350	766
RP11-345J4.3	0	1	2.74	30.02	0	0	8.94	3	0	5.31	0.47
EIF5AL1	143244	34.23	37.88	14.35	30.06	29.28	23.48	23.04	11.42	11.3	10.94
MCM10	55388	12	5	2	1	2	2	4	5	5	3
SREBF2	6721	8050.39	3342.59	3177.15	3795.1	2589.73	3847.06	5934.96	1813.61	10276.8	2702.62
RPP30	10556	801	623	864	688	431	950	563	591	1290	549
ACAD10	80724	716	736	914	905	823	1333	597	436	1722	712
PITRM1	10531	3221.38	4923.26	5036.99	3887.57	2535.69	4471.99	2932.79	2280.13	8803.26	3482.51
RP11-351M8.1	0	1.56	1.08	1.81	9	0	12.72	0	0.58	1.92	2.95
AC011308.1	0	0	0	0	0	0	0	0	0	0	0
SLC36A4	120103	833	1012	790	394	481	892	867	613	794	716
GEMIN5	25929	951	729	842	1003	622	848	793	547	1449	514
SSC5D	284297	4427	3026	1725	1817	1732	4792	4850	5716	5055	3287
NHLH2	4808	0	0	1	3	1	1	0	0	0	1
RHBDL1	9028	38	55	30	105	55	97	81	63	66	99
EIF2B2	8892	704	812.88	1064.83	906.85	728.69	743.79	673.46	403.99	1023.4	570.5
TARDBP	23435	6640	9208	7923	6907.93	4267	8437	6332	3932	10821.98	6035
EMC7	56851	1171	1096	1144	946	1006	958	1083	1128	1420	703
DDX58	23586	650	485	707	714	549	1067	544	920	855	868
C1QTNF6	114904	430.44	606.9	239	887.47	801.62	633.59	545.77	441.71	1213.76	485
C8orf59	401466	740	1042.16	957.8	651.24	582.67	914.39	617.37	502.79	1220.61	678.87
NME3	4832	1315	2041	1917	1837	1115	2194	797	934	3479	1602
TNC	3371	4349	3122	918	2900	5287	2941	12045	36761.17	240	4634
NBPF20	25832	441.08	445.29	432.45	362.02	295.09	619.98	365.44	218.87	854.06	375.08
CXorf40B	541578	788.71	1233.16	916.76	608.58	518.69	1053.53	647.5	471.23	1867.73	761.3
WDR82	80335	4937	3668	4671	4573.93	3754	3779	4663	3257	6032	3212
MYO1E	4643	1586	1957	1376	2770	4405	1643	2351	1685	3117	1513
STC2	8614	60	1066	105	85	239	375	62	133	11	484.97
POTEE	445582	0	0	0	0	4.22	0	0	0	0	0
OR9A2	135924	0	0	2	0	0	1	0	0	0	0
CDC23	8697	972	955	1018	1003	752	1075	1008	724	1533	675
SNX27	81609	1266.92	2132	2432	2158	1502	2027.75	1897.08	2157.88	2271	1625
SLC6A3	6531	12	43	35	15	15	21	7	30	139	35
GRAP2	9402	46	25	46	95	48	135	124	38	32	97
TMC3	342125	6.05	10.07	16.18	2	3	12.32	4.04	2	22.22	7
TOMM6	100188893	1323.69	2043.88	1809.59	1708.04	1180.71	1347.91	1078.52	1255.19	2035.75	1098.2
CCT5	22948	3571.41	2274.66	2859.43	4069.04	2525	1800.45	3557.08	2460.97	2761.62	1583.32
RGS17	26575	69	106	121	127	62	167	64	44	329	135
YKT6	10652	2163	1772	1468	1824	1555	1640	2064	1930	2489	1085
RPL36A	6173	7513.88	19654.47	15586.66	9976.81	7088.28	10479.53	8967.14	5384.2	12989.68	7138.34
AC017081.1	0	0	0	0	0	1.33	0	0	0	3.21	1
GGNBP2	79893	2732	3947	3515	2559	2174	2880	2517	1603	3629	2260
NOL10	79954	599	655	753	597	568	674	621	414	685	476.01
CTU2	348180	580	518	417	409	337	415	413	359	796	410
BARX1	56033	30	3	9	0	6	8	2	6	6	37
NELFCD	51497	2829	4795	3672	2406	2023	4302	2534	1427.2	4898	2781
KBTBD3	143879	164	200.08	359	200.1	187.07	273.15	126	158	275.23	192.23
USP30	84749	644	629	693	816	501	854.84	555.77	409	1503	596
NFAM1	150372	105	71	72	45	77	21	59	57	133	53
ZNF850	342892	150	126	222	136	83	175	123	76	149	160
SUSD2	56241	1568	278	1063	483	746	502	716	892	302	342
UBE2U	148581	0	0	0	0	0	0	0	0	2	0
ARL17B	51326	192.39	265.05	263.01	165.15	236.54	377.17	177.7	87.06	535.9	330.72
KMO	8564	20.04	20.09	2.72	8.26	7.07	6.03	7.13	2.87	7.58	1.57
ALX1	8092	23	7	79	19	7	30	29	6	1	31
CORO7	79585	941.96	1244.32	845.59	685.92	916	1268.69	832.65	916.64	1151.32	780
OR11A1	26531	0	0	0	0	1	0	0	1	2	0
CITED2	10370	6074	2325	2880	3821	4988	3234	3744	4046	6094	7453
TP53TG3D	24150	21.51	9.63	96.96	5.71	9.43	36.91	26.4	1.2	90.11	28.75
ARL5B	221079	819	1121	1042	749	658	1074	690	356	1103	1025
NEO1	4756	3126	1806	2101	2231	1626	2140	2511	1565	4384	1913
ELF2	1998	1456	1958	2320	1629	1337	1703.99	1907	1303.99	1797.98	1279.99
SDR42E1	93517	122	75	73	104	85	51	76	69	119	50
NBPF4	148545	0	0	3.69	0	0	0	0	0	0	0
KIF13B	23303	941.77	1118.68	978.7	1501.52	1859.37	1237.2	1249.97	936	1782.96	1475.53
NOTCH3	4854	10763	5492	13713	11074	12801	10012	6275	7240	5469	7318
SF3A3	10946	2404	1961	1813	2229	1757	2411	2744	2234	3105	1321
OLFM1	10439	2049	3653	3395	1154	1354	1919	1240.14	1529	505	1164
CETN2	1069	1841	1977	2130	1283	1112	1537	2203	1455	2394	1202
CDH26	60437	45	66	92	96	59	90	36	22	61	50
FBXO30	84085	1242	754	1014	805	682	837	1369	1104	776	692
MIPOL1	145282	352	427	628	241	194	549	241	154	415	422
OR5AK2	390181	0	0	0	0	0	1	0	0	0	0
SLC48A1	55652	1631	1684	1750	1317.11	1221	1821	1094	1313	2669	1136
FAM19A5	25817	239	129	144	142	157	152	255	29	3710.99	110
LY6K	54742	64.05	8.5	47	17.8	15.42	7.7	15.89	11.61	74.81	19
OR2T10	127069	0	0	0	0	1	0	0	0	0	0
TLR8	51311	19	4	14	10	21	2	17	18	4	2
EIF5	1983	7358	5989	7640	5354.02	4055	5095	5149	4691	5511	4529
AP2S1	1175	1043	769	700	803	783	806	1060	1159	887	584
MAGEL2	54551	44	26.11	37	25.04	17	41	318.08	14	166.32	25
RP11-383H13.1	0	268.48	312.63	404.58	180.62	143.39	336.46	209.62	142.44	84.16	384.72
ATIC	471	1557	1630	1316	1409	1073	1227	1717	1300	1667	972
C9orf147	0	19	21	12	7	2	10	12	7	17	5
RP11-178L8.4	0	9.38	42.73	21.4	39.79	27.93	30.92	15.02	14.42	29.18	16.2
REXO1L1	0	0	0	0	1.31	3.83	0	0	3.96	0	0
CEP68	23177	1503.55	2353.32	2664.28	1921.69	2211.17	2259.05	1372.79	1490.56	2813.98	1756.6
ELMSAN1	91748	2929	4180	4228	3605	1870	4236	3331	1759	4616	4416
IL10RA	3587	603	213	421	533	464	530	231	369	163	144
EZH1	2145	4684	8490	8565	6475	3465	9206	3695	2748	11136	6136
SHARPIN	81858	1381	1633	1431	1646	1260	1702	1171	1218	2565.31	1190
PSG1	5669	0	0	0	0	1	0	0	1	0	0
GTF2H3	2967	846	582	613	487	493	600	606	585	897	422
AL353583.1	0	0	0	0	0	0	0	0	0	0	0
ITGB1	3688	23434.02	17118.75	17789.11	12414.12	20728.82	11922.99	34267.78	36227.85	12929.3	13455.05
USF2	7392	3980	6802	5909	5467	3355	6004	3234	2823	9077	4086
NECAB3	63941	810.47	1187.11	806.69	491.34	435.41	752.03	525.79	635.63	1066.48	387.76
RP11-108K14.8	0	10.36	5.97	0	6.35	5.56	19.36	0	0	12.37	0
MXD3	83463	300.81	509.61	261.04	328.17	276.69	428.81	244.31	310.59	563.48	386.03
RPF1	80135	833	908	1161	714	642	689	797	633	896	561
DYNLL1	8655	3693	2131	5012	6087	2373	3321	4326	5785	3046	2928
SGOL2	151246	81	20	82	65	55	43	45	56	135	40
PRL	5617	6	401	201	103	96	132	83.89	1	428	64
WWC1	23286	3	3	5	4	34	5	5	0	109	3
TPPP3	51673	312	384	418	818.11	969	662	841.2	966	310.29	802
NTPCR	84284	1033.57	917.43	1192.67	883.38	954.67	1143.5	904.18	927.06	1515.52	653.58
OGN	4969	2426	1879	3285	3893	1797	9983	6725	1704	453	9426
MTRR	4552	1092.48	1108	1374.46	1070.02	842	1078.49	906.68	967	1623.81	716
C1QL3	389941	18	3	16	8	18	18	11	13	38	13
SPG20OS	0	13	27	34	30	18	52	23	18	27	32
C19orf60	55049	1356	2263	1551	1632	1050	2423	720	903	2122	1352
NUTM2E	0	31.85	10.88	5.91	10.93	7.08	9.92	41.28	0	52.16	7.27
PMCH	5367	4.37	0	0	0	2.37	0	0	0	0	0
FGB	2244	33	9	11	48	63	16	0	47	16	0
VCY	9084	0	0	0	0	0	0	0	0	0	0
GPX2	2877	3	10	2	9	7	3	5	8	11	1
TRIM52	84851	822.32	1460.96	1778.19	1445.42	774.34	2056.34	769.42	593.2	1958.44	1247.61
FPGT-TNNI3K	51086	314.99	221.74	120.26	72.62	139.05	291.03	217.07	81.54	430.44	276.39
CLDN16	10686	49	33	26	15	3	30	14	2	12	22
DNAJB8	165721	1	1	0	0	0	1	0	3	2	1
AC092384.1	0	0	0	0	0	0	0	0	0	0	0
PTGES3L-AARSD1	100885848	8.14	7.9	20.37	50.59	42.5	48.98	324.04	355.79	25.12	22.38
JAKMIP3	282973	365	111.91	151	108	69.38	616.98	113	97	535.36	207
CLCN4	1183	55	18	70	34	50	63	22	64	201	89
RP11-1084J3.4	0	45.94	0	0	110.73	20.68	96.64	17.17	0	181.34	31.77
CACNA2D1	781	1289	928	1115	941	525	1190	1156	652	1301	1049
ALPK2	115701	8	2	1.52	5	9.79	0	25	1.51	25.84	0
FABP2	2169	0	1	1	0	0	0	0	1	1	0
OR14I1	401994	0	0	0	0	0	0	0	0	0	0
ZNF234	10780	301	231	372	305	231	362	274	201	432	183
NNT	23530	1327	1372	1350	829	975	1272	1522	1134	1325	879.21
AC008948.1	0	1	1	0.79	0.56	0	0.46	0	2	0	0
SAAL1	113174	339	382	393	323	235	402	287.99	200	599	189
IARS2	55699	2404	2232	2774	2347	2273	2284	2908	1828	3315	1914
SRC	6714	4251	5087	2866	3501	2425	4539	3355	2563	5695	3063
TMEM105	284186	1	0	0	2	0	0	1	1	8	0
OR56A1	120796	0	0	0	0	1	0	0	1	0	0
MYNN	55892	1026.67	942.11	1246.84	815.59	631.39	870.59	729.71	468.83	1184.74	770.81
GPER1	2852	325	387	379	368	724	339	308	438	265	142
KRBA2	124751	93.6	91.6	148.68	156	134	125.13	119.42	54.28	327.7	63.31
RNF183	138065	14	24	16	9	32	20	6	6	40	10
STRN3	29966	1067	1749	1689	992	1039	1535	1138	965	925	1179
FLJ00418	0	475.79	177.33	200.86	348.56	116.26	375.74	370.8	125.83	649.26	135.71
GPR84	53831	23	23	5	3	15	3	7	6	1	1
LRRC6	23639	76	100	151	125	67	166	84	47	131	121
DNPH1	10591	780	754	404	359	353	500	640	647	1038	360
FAM134A	79137	2208	2841	2924	3761	2592	3151.36	2234	1741	5587.19	2655.68
GHRH	2691	1	0	0	0	0	0	0	0	0	0
C17orf51	339263	1052.94	741	1210.8	1310.84	515.3	1612.01	968	540.43	2215.01	429.2
COPG2	26958	479.67	560.17	547.71	464.3	401.97	539.87	373.75	281.95	999.84	397.02
NDNF	79625	60	133	338	130	91	15	27	7	447	79
RCC1	1104	316.89	481.47	664.16	735.14	713.5	365.39	653.86	306.73	464.12	296.42
UBALD1	124402	1031	2311	1442	1499	884	1891	994	742	1720.39	1293
TMEM64	169200	1525	628	1118	966	581	729	1602	1072	571	952
KCNE4	23704	1475	97	254	971	988	458	3471	2380	356	547
TMEM151B	441151	9.31	17.18	4.92	12.89	4.76	12.92	2.81	2.71	32.68	10.53
SDR9C7	121214	19	6	23	31	16	36	31	16	27	16
CCL22	6367	8	0	0	0	3	3	4	1	20	0
RP11-761B3.1	0	0	0	0	0	0	0	0	3	0	0
ACTL6B	51412	0	0	0	0	1	0	0	0	1	0
ABCA12	26154	2	0	2	0	2	2	1	0	3	0
ZNF729	100287226	2	0	1	0	2	0	0	1	0	0
GPR112	139378	281	64	314	6	14	812	5	17	1	422
MAP3K8	1326	840	1535	517	435	502	649	604	409	368	1042
FAHD2B	151313	857.41	1249.01	1118.19	830.25	521.2	1170.03	506.02	368.78	2028.64	779.07
GSTT2	2953	194.29	382.32	274.46	181.98	123.36	264.28	611.79	510.57	325.07	167.12
ELSPBP1	64100	0	0	0	0	1	0	0	0	0	0
THAP6	152815	364.14	562	562	414	396	644	321	337	1047	376
AFP	174	12	2	0	1	0	0	7	8	0	0
AL358333.1	0	4.18	3.8	4.11	12.22	0	10.04	4.35	0	0	8.44
PAEP	5047	0	0	0	0	7	0	0	0	0	0
CASP9	842	1223	2403	1106	1464	647	2108	916	396	2382	1832
CHRND	1144	2	0	0	0	0	1	0	0	0	0
BICC1	80114	713	802	1006	318	264	933	751	424	528	951
MTCP1	4515	169.55	207.58	185.04	182.81	157.09	135.69	160.57	122.62	349.52	126.61
CYR61	3491	14460	11143	2072	3087	7950	20848	13735	5084	6145	45662
ECM1	1893	335	1284	313	1466	1464	941	2075	694	2037	1526
PLA2G2A	5320	75	201	108	30	290	81	93	91	44	12
NEIL3	55247	4	1	0	0	1	0	1	0	0	0
RPL26L1	51121	331.92	264.19	242.98	249.97	260	212.72	330.42	260.79	418.26	148.52
FSCN3	29999	7.1	6	6.19	15	4	6	4	6	6	3
MED7	9443	346	283	358	251	228	281	214	265	462	142
ANGPT2	285	100	101	440	221	372	295	175	379	86	265
SERPINF2	5345	537	714	332	274	234	138	767	235	279	97
ATF6B	1388	3415	4410	3383	3516	3155	4270	2747	1853	7486	2561
RARS	5917	1420	1565	1265	1264	1115	1709	1239	956	2155	1016
LSR	51599	361	436	591	940	1216	379	335	616	808	168
RP11-296A16.1	0	7.27	3.6	0	0	0	0	0	0	0	2.84
RPE	6120	801	1133.32	1246.46	750.85	627	1006.36	804.69	607.21	743	887.45
TYMS	7298	206.35	124.65	126	80.24	42.31	134.5	106	38.66	159.71	76.25
C3orf79	152118	0	0	0	0	0	0	0	0	0	0
ITPR2	3709	943	731	1089	457	549	645	715	352	2396	513
RBM46	166863	1	0	1	1	0	0	0	1	0	2
EFTUD2	9343	2006	2841.41	1772.54	1670.79	1776.09	2659.31	2202.55	1324.37	3769.35	1483.14
TRIM39-RPP21	202658	0	2.64	0	0	10.59	0	0	2.4	3.36	0
NMUR2	56923	1	0	0	13	1	1	1	2	4	0
SLC22A11	55867	5	7	1	1	2	7	3	1	33	1
PITPNB	23760	1858	2625	2408	2321	1955	2491.12	2705	2130	1944.21	2440
PGAP2	27315	455.55	740.43	651.43	676	289	786.4	381.37	229.31	1157.79	571
NAPB	63908	749	1705	1543	1040	969	1601	761	487	1294	1353
APOC1	341	30	23	30	38	26	18	31	26	196	7
GSTA2	2938	1	1.23	1	2	0	0	0	0	0	0
SCUBE3	222663	195	39	33	83	76	92	125	257	77	53
CRELD2	79174	1386.06	2565	1302	837	550	834	941	1200	1436.26	688.07
GOLIM4	27333	2099	1342	2242	1497	1654	2234	2479	1881	1978	2013
NKTR	4820	11234	23830	12493	10106	7185	17703	10968	5619.97	25737	12181
ZNF446	55663	945.56	1066.81	813.38	877.04	604.28	1230.2	706.57	550.64	2590.45	766.16
PAN2	9924	4262	7116	5693	7226	2941	7750	2703	1888	9263	5265
KCNC2	3747	0	0	0	0	1	0	1	0	0	0
PEAR1	375033	1957	3467	4021	2995	2095	2549	1953	2230	1100	2346
SLC25A27	9481	1880	4623	3543	3058	1135	4520	1095	907	4149	2478
SLC6A12	6539	18	157	29	448	193	138	6	2	830	37
SNX8	29886	519	501	355	643	381	555	354	455	1216	206
RAG2	5897	2	0	3.04	1	3	0	1.03	4	5	0
DLC1	10395	2335	1530	2048	1623	2044	3389	1887	1387	1652	2724
ERVMER34-1	100288413	13	1	7	5	8	5	7	3	407	8
YIPF1	54432	407	747	787	680	442	476	405	363	641	339
RUFY2	55680	935.01	1650.05	1626	999.02	760.01	1628.07	784.04	554	1612.02	1164.01
DDX25	29118	6	9	2	7	6	12	2	0	26	3
WFDC8	90199	0	0	0	0	0	0	0	0	1	0
DCTN6	10671	830	1008.39	887.93	598	761	813.1	711.84	714	1018	776.88
PPT2	9374	1174.05	1467.35	1803.87	1841.64	1244.8	2295.4	1071.05	723.19	2823.39	1342.5
SENP2	59343	1637	1501	1581	1426	1031	1840	1176	710	2500	1276
GBE1	2632	960	1393	867	1225	1584	539	977	872	797	890
KITLG	4254	746	1058	2005	1706	1264	1344	919	688	1929	1464
C7orf33	202865	0	0	0	0	0	0	0	0	0	0
TCIRG1	10312	4956.66	11179.3	6453.38	5175.51	4586.71	8646.8	4145.31	4088.85	11415.59	4932.58
KIF27	55582	333.56	430.49	530.52	312.66	225.22	513.31	346.66	114	576.18	308.9
PMPCA	23203	1696	1802	1607	1866	1251	2199	1371	999	3308	1383
CDT1	81620	44	40	20	27	12	19	16	8	50	17
GBA	2629	980.28	981.82	853.5	1227.37	1516.61	1318.15	832.95	911.16	1318.3	973.36
CNTLN	54875	843	885	1171	576	575	1006	576	470	1285	778
KIAA0355	9710	1655	3083	2015	2182	3067	2426	1966	1318	2377	2513
IAH1	285148	975.11	1762.52	1453.99	1088.07	877.6	1611.74	961.16	699.79	1359.76	1331.72
THSD4	79875	1934	2523	1063	1535	1727	1658	4452	3621	1079	1489
TCERG1	10915	3676	6283	3547	2188	1854	4366	2860	1915	6019	2901
IPO11	51194	618	481.56	1042.26	710.34	691.13	593.32	612.47	565	751.34	514.23
GBA2	57704	3959.48	4553.54	3782.58	3823.43	2884.66	5242.2	3648.08	2779.17	6016.7	3298.35
SRSF4	6429	5447	8612	6039	5643	4711	6956	5627.99	3357	7722	4765
IDE	3416	1057	912	1363	822	913	918	1209	975	956	658
ZNF696	79943	230	150	247	345	196	229	203	153	463	151
MORC3	23515	1858	2288.19	2546.58	2475.22	1289.03	2597.75	1634	1051	2472	2063.48
PROKR1	10887	0	1	0	2	3	2	3	0	1	1
KCNB1	3745	2196	494	667	1082	413	294	2812	3283	930	262
NT5DC4	284958	0	0	0	0	0.98	1	0	0	0	0
MEPE	56955	0	0	0	0	1	1	0	2	0	0
MYLPF	29895	8	5	11	6	5	9	3	3	16	15
USP17L30	728369	0	0	0	0	0	0	0	0	0	0
TMEM236	653567	50.27	8.02	12.87	3.75	10	19.16	23	30	3.36	9
PCCA	5095	672	761	817	680	547	795	636	301	944	772
EDAR	10913	1	1	0	0	3	0	1	1	31	1
USP2	9099	1524	147	414	239	233	254	513	471	263	645
SLC25A26	115286	608.73	651.84	597.26	515.33	425.61	646.27	516.11	359.54	922.18	683.26
C5orf38	153571	5	6	6	8	8	4	1	7	0	7
MSLN	10232	380	1468	343	317	42	24	481	143	85	70
FCRL2	79368	2	1	2	1	0	0	1	2	1	2
ABCB1	5243	492	920.99	796.99	1741.99	1876	999.99	924.99	456	726	409
ZSCAN2	54993	315	316	562	556	324	511	290	189	949	295
CELA2B	51032	7.39	12.3	2.22	2.14	5.2	8.68	0	4	6.12	2
MCF2	4168	4	4	3	4	3	6	5	2	24	3
CLEC4G	339390	9	12	6	16	0	1	0	3	2	2
ANGPTL7	10218	38	29	20	23	125	45	35	741	6	189
FOXN2	3344	607	378	1384	493	611	625	569	488	263	520
CWF19L1	55280	735.95	976.76	862.89	648.81	436	1158.73	558.99	475.99	1532.92	608.91
ZNF711	7552	610	192	469	333	183	492	337	121	1387	339
C11orf40	143501	0	0	0	0	0	0	0	0	0	0
TLE1	7088	3277.83	1999.24	2803.37	5107	2883.37	2662.27	2923.63	1480.62	9016.1	2111.98
SNX14	57231	1472.61	1070.59	1309.44	1292.76	1288.07	1491.39	1236.2	1080.33	2199.02	1141.33
KIAA1462	57608	2571	4197	4427	4381	3142	3342	5705	3931	5624	2906
SH2D6	284948	8	1	1	2	4	2	0	0	7	0
SLK	9748	3407	3752	3463	3769	4395	3965	3847.99	2520	3661	3279
IQSEC1	9922	2815	2350	2652	2458	1997	3059	2232	2019	4912	2240
TFAP2E	339488	62	88	181	112	42	103	64	72	215	73
QPRT	23475	1631	882	1234	1304	318	1402	1435	624	4275	810
RP11-187E13.2	0	0	0	0	0	0	0	0	0	0	0
PKN3	29941	536	765	1041	1131	1286	662	495	720	452	360
AC013269.5	0	0	0	0	0	0	0	0	0	0	0
FBXL13	222235	30	65	75	22	18	65.23	23	26	39.46	42
LHX6	26468	380	662	645	426	939	251	283	343	187	64
EOGT	285203	2587	2419	1203	902	1766	1532	3526	3730	1693	1282
CCPG1	9236	1898.94	1607.27	2518.85	1405.64	2326.16	2607.88	2012.01	2254.44	2186.63	1981.15
MTRNR2L13	0	0	0	0	0	0	0	0	0	0	0
MLNR	2862	1	0	0	0	2	0	0	1	10	0
PCDHGA8	5098	86.06	52.93	63.98	82.94	5.83	94.35	31.51	17.42	59	40.1
CLTC	1213	8971	6553.95	6248	5960.93	6736.99	5167.95	7691.7	7022	7742.55	3598
ATAD1	84896	1587	1796	1933	986	1171	1626	1648	1122	1692	1613
TULP1	7287	50	33	36	14	23	30	19	10	42	4
MIA2	117153	1	0	1	0	0	0	0	0	0	0
C10orf25	220979	68.26	38.34	109.58	115.9	114.29	123.35	60.06	90.69	189.07	77.37
EYA1	2138	0	1	1	0	3	1	1	2	3	2
C22orf23	84645	205	102	101	151	91	174	436	388	252	83
LYPD6B	130576	5	4	5	16	2	3	5	0	37	3
PDGFRA	5156	10221	14871	9710.72	3184	5797	6574	10563	5210.56	20033	6789
